Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
SA594458,0.28292842260219,0,0.0799704518108017,0.0472320419320403,0,0.246404345175805,0,0,0,0,0.0410976596201192,0.0252428355471384,0.01562603407204,0.00987753749682286,0.0902165038917185,0.0120008792055903,0.0133158018007422,0,0.136087486844991,0,0,0,0.921,-0.043363486285405,1.10740893546019
SA595555,0.199146659973694,0,0.0444339326502603,0.0933300478914107,0,0.305044053090532,0.00552530200448239,0,0.0256307347250277,0,0.0299025000591469,0.011989127622384,0.00139970782613103,0.00120537094411384,0.106956769846539,0.0700300615512921,0.00862126683183007,0,0.0786051365388682,0,0,0.0181793284442873,0.812,-0.0189185487535745,1.10506855265928
SA594388,0.115615367768208,0,0.110955828870113,0.0305501030090502,0,0.117024076091171,0,0,0.036054828519767,0,0.022074548002012,0.0288936304300335,0.0343854687130977,0,0.0660204998173061,0.191133041804073,0.229515926802614,0,0.0177766801725553,0,0,0,0.686,8.75858648790366e-05,1.07444239583305
SA594402,0.21212702609995,0,0.143987018409573,0.0221746314879854,0,0.340415869982168,0,0,0,0,0.0119171946619056,0,0,0.0636754754442552,0.0227569425532041,0,0.095900124564847,0,0.0579499795152204,0,0,0.0290957372808912,0.908,-0.0401529377613867,1.09392444512218
SA594445,0.118374688347328,0,0.0927964107970569,0.00458372713223899,0,0.249891498759489,0,0,0,0,0,0.016098427562095,0,0,0.0502744682712585,0.131443279705099,0.250736762229546,0.0756481038417874,0.00555178000259872,0,0,0.00460085335150223,0.812,-0.0189505089223881,1.07635543802452
SA594463,0.0483350510899699,0,0.187346822122082,0,0,0.291310114945638,0,0,0.00209917850720089,0,0.115699841417425,0.0429147095571406,0,0.0457042642075789,0.00315079939483761,0,0.121476396830013,0.0167363866722811,0.0607847471040394,0,0,0.0644416881517938,0.917,-0.0424057842050012,1.09989649495737
SA594486,0.0936777076091194,0,0.200122181972394,0.0549856514277199,0,0.0627753478331544,0,0.0199573499336105,0,0,0,0.0230580091297145,0,0,0.137302718657722,0.149416341458738,0.00676112574262113,0.0286144742840543,0.149856845741839,0,0,0.0734722462093118,0.9,-0.0381580341015124,1.0886358097692
SA594546,0.0895377182949867,0,0.132130148458731,0,0.0525540745586885,0.224334843895198,0,0.0280332491570421,0,0,0,0.0918099913726288,0,0.0534657615458918,0.0400173682792091,0.000309193727904607,0.0264216514278863,0,0.248210853632036,0,0,0.0131751456497964,0.831,-0.0222189371362661,1.07962483577042
SA594558,0.0721612162399699,0,0.0242135389818698,0.138012943446065,0,0.0147244811396483,0.161741064959727,0,0,0,0,0.0525937249398973,0,0.107528050565228,0.231355801089556,0.0157791734477549,0.0284438488170329,0,0.149458761693269,0,0,0.00398739467998188,0.012,0.429186109292163,0.905450147441895
SA594576,0.124086338480495,0,0.0770258744105303,0.0529939548385234,0,0.162025166638553,0,0.0112302371211185,0.0764284913631693,0,0.0188268545720851,0,0.0458506534433447,0.0426793949082663,0.0969680758433393,0.109500759370212,0.165723988395647,0,0.00829671582708568,0.00370314126169703,0.00466035352593378,0,0.201,0.120434306842493,1.02895691082303
