Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-G3-A25X-01A-11R-A16W-07,0,0,0,0.220228968,0,0,0.090156731,0,0.121380248,0,0.027521169,0.077661329,0,0.021384506,0.078719996,0.130548098,0.114211088,0,0.071654127,0,0,0.046533741,0.057,0.160680135,1.027741235
TCGA-DD-AADS-01A-11R-A41C-07,0.027134735,0,0.011204429,0.196775304,0,0.093053225,0.024033049,0.002743062,0.168112835,0.009349732,0,0.069380666,0.027268289,0.028618863,0.10204743,0.1962709,0,0,0.044007481,0,0,0,0.354,0.036913986,1.088285194
TCGA-G3-AAV3-01A-11R-A37K-07,0.027429376,0,0.060066181,0.357177876,0,0.008870502,0.024987687,0.036740136,0.10557777,0,0,0.038763264,0.009126224,0.127255973,0.067482203,0.0920864,0.023130746,0,0.021305661,0,0,0,0.154,0.088316602,1.066065204
TCGA-T1-A6J8-01A-11R-A32O-07,0,0,0.001784922,0.084716121,0,0.168756084,0,0,0.108397498,0,0,0.061262583,0.028530676,0.059734689,0.070132205,0.260669229,0.105798198,0,0.050217795,0,0,0,0.379,0.032175231,1.077190498
TCGA-2Y-A9GU-01A-11R-A38B-07,0.078787197,0,0,0.192019912,0,0.033747144,0,0.034661627,0.098397571,0,0,0.08481254,0.02914098,0.06129928,0.077124169,0.230808008,0.007485386,0,0.071716187,0,0,0,0.865,-0.024266298,1.102250757
TCGA-2Y-A9HB-01A-11R-A39D-07,0.020739797,0,0,0.247192664,0,0.210934185,0,0.017828162,0.046998482,0.027246172,0,0.047519843,0,0.037540919,0.120231946,0.161328937,0.010801817,0,0.051637075,0,0,0,0.483,0.017493195,1.111793596
TCGA-DD-A73E-01A-12R-A32O-07,0.128722799,0,0.008010517,0.013915519,0,0.091495141,0,0,0.018887539,0,0,0.105015707,0.009339317,0.01857851,0.044649049,0.158033747,0,0.023179482,0.380172673,0,0,0,0.68,-0.005506446,1.118560085
TCGA-UB-A7MB-01A-11R-A33R-07,0.028543441,0,0,0.046298227,0,0.203584426,0,0.06594495,0.021409412,0,0,0.163794649,0.012610947,0.096673207,0.093371886,0.141355174,0,0,0.094607438,0,0,0.031806243,0.892,-0.027766395,1.120331473
TCGA-DD-A73A-01A-12R-A32O-07,0,0,0,0.217701025,0,0.318576925,0,0,0.051986982,0,0,0.073259695,0.023662791,0.048966443,0.054824683,0.122686207,0.047254366,0,0.038028906,0,0.002654833,0.000397142,0.608,0.002305197,1.117993524
TCGA-DD-AAEG-01A-11R-A39D-07,0.107252855,0,0.045944106,0.05146733,0,0.145386892,0,0.088386131,0.048105146,0,0,0.136782454,0,0.166583117,0.081103159,0.077827286,0,0,0.051161524,0,0,0,0.357,0.03645162,1.08269189
TCGA-ED-A8O6-01A-11R-A36F-07,0.018571963,0,0,0.045234047,0,0.184958938,0,0,0.188652268,0,0.094310457,0,0.029634793,0.122999089,0.061398779,0.132795132,0.042455753,0,0.078988781,0,0,0,0.236,0.061500563,1.062039554
TCGA-G3-AAV7-01A-11R-A38B-07,0.019507414,0,0.001039406,0.005755406,0,0.065653321,0,0.012262642,0.091391248,0,0.063794193,0,0,0.538029374,0.019523022,0.12815071,0,0,0,0.052204912,0.002159565,0.000528787,0.047,0.182975697,1.084138451
TCGA-CC-A7IJ-01A-11R-A33R-07,0,0,0.003728012,0.319755979,0,0,0.031991343,0.054359141,0.011532301,0.084920809,0,0,0.041784359,0,0.103173326,0.341340431,0,0,0,0.0074143,0,0,0.054,0.162501208,1.042068141
TCGA-2Y-A9H9-01A-21R-A39D-07,0.04852056,0,0.023586698,0.054131578,0,0.164141194,0,0.003894368,0.083628576,0,0,0.095057782,0.005901985,0.054668388,0.157131051,0.202513533,0.02448395,0,0.081987466,0,0,0.000352873,0.653,-0.002064344,1.103577444
TCGA-CC-5261-01A-01R-A131-07,0.091810786,0.042636861,0,0.075758429,0,0.255666394,0,0,0.170528306,0,0,0.02518858,0.015895124,0.068628555,0.06349906,0.073743722,0.031779474,0,0.083057844,0,0,0.001806865,0.039,0.192697051,1.009500819
TCGA-RC-A7SH-01A-11R-A38B-07,0.07266995,0,0,0.145749289,0,0.20821,0,0.048794827,0.151534429,0,0,0.093427582,0.005215523,0.127623209,0.079577823,0.036573528,0,0,0.030612435,0,0,1.14E-05,0.676,-0.00495086,1.120529788
TCGA-DD-A1EI-01A-11R-A131-07,0.02318444,0,0,0.066839549,0,0.242841159,0,0,0.086606368,0,0,0.076999755,0.021742782,0.129664144,0.062487892,0.184664932,0.021261247,0,0.075670328,0,0,0.008037403,0.559,0.008543811,1.08912604
TCGA-G3-A3CJ-01A-11R-A213-07,0.054587511,0,0.009556841,0.10673583,0,0.043169022,0,0.022795396,0,0,0,0.130246786,0.086338173,0.0252233,0.07193554,0.312328624,0.012569024,0,0.113180784,0,0,0.01133317,0.817,-0.019279627,1.10498958
TCGA-GJ-A9DB-01A-11R-A37K-07,0.046633744,0,0.004055066,0.054178648,0,0.182780312,0,0.002998292,0.051614786,0,0,0.019378122,0.058130517,0.153194354,0.100287853,0.185618269,0.030489809,0,0.070565488,0,0.04007474,0,0.29,0.048173426,1.068079176
TCGA-ED-A7PY-01A-11R-A33R-07,0.065262659,0,0,0.167502294,0,0.09080969,0,0.01791111,0.118815543,0,0,0.092250784,0.027129924,0.031154178,0.153267086,0.085527099,0.047326815,0,0.083865017,0,0.0191778,0,0.841,-0.021231682,1.117298357
TCGA-K7-A5RG-01A-11R-A28V-07,0.055459386,0,0.114769784,0.350453204,0,0,0.048189536,0.08882503,0.079192485,0,0,0.011206647,0.006056405,0.074511989,0.062972232,0.087649855,0.018474468,0,0.001804966,0,0,0.000434013,0.01,0.319861702,0.955569826
TCGA-G3-A7M5-01A-11R-A33R-07,0.043879294,0,0,0.137171367,0,0.247801847,0,0.000880857,0.123407683,0,0.044186879,0.062934794,0.028223411,0.06693451,0.051056143,0.056096642,0,0,0.13440191,0,0,0.003024664,0.742,-0.011097944,1.110732157
TCGA-DD-AADN-01A-11R-A41C-07,0.01210222,0,0.062192267,0.315760074,0,0,0.250006745,0.015822283,0.038887511,0,0.055245365,0,0.007980138,0.078569871,0.068857195,0.076826115,0.005867348,0,0.011882869,0,0,0,0.04,0.189791911,1.018412073
TCGA-CC-A8HS-01A-11R-A36F-07,0.090964621,0,0,0.075474158,0,0.259424354,0,0.009192761,0.096626112,0,0.061921232,0.02776518,0.0136147,0.149799799,0.056866545,0.124260618,0.000686936,0,0.033402985,0,0,0,0.774,-0.014836182,1.102170328
TCGA-WQ-AB4B-01A-11R-A41C-07,0.007059454,0,0,0.030431345,0,0.230007228,0,0,0.083382648,0,0,0.120496931,0.016588069,0.146826286,0.091146311,0.075304102,0.024466143,0,0.174291484,0,0,0,0.621,0.000658179,1.100321587
TCGA-FV-A23B-01A-11R-A16W-07,0.040997453,0,0,0.099488315,0,0.250788378,0.005008242,0.046380451,0.057738955,0,0.00495584,0.025559902,0.015202828,0.010785003,0.105184375,0.135625636,0.172879996,0,0.029404626,0,0,0,0.586,0.004619795,1.089026045
TCGA-FV-A3R3-01A-11R-A22L-07,0.008940453,0,0,0.115505384,0,0.350840479,0,0,0.003006363,0,0,0.046991828,0.020728919,0.061001877,0.027151202,0.266018336,0.052278061,0,0.047537098,0,0,0,0.601,0.002741514,1.098439347
TCGA-G3-AAV0-01A-11R-A37K-07,0.013931833,0,0.034583784,0.110634159,0,0.045421579,0,0.061001189,0.098978605,0.005848811,0,0.148361132,0.018567713,0.0392966,0.172256328,0.085464977,0.024613569,0,0.141039718,0,0,0,0.914,-0.032852887,1.137192332
TCGA-5C-A9VG-01A-11R-A37K-07,0.073117602,0,0,0.040422926,0,0.200851901,0,0,0.013691017,0,0,0.067878115,0,0.109443564,0.045172627,0.230789311,0,0,0.218632938,0,0,0,0.617,0.001086805,1.089426464
TCGA-BC-4072-01B-11R-A155-07,0.026189233,0,0.007198532,0.155695383,0,0.190408958,0.042927552,0.020191427,0.065495218,0.045037016,0,0.035497108,0,0.033403865,0.106900345,0.15171209,0.065405345,0,0.020725275,0,0,0.033212653,0.034,0.200867321,1.01205931
TCGA-DD-AAVV-01A-11R-A41C-07,0.057595739,0,0.017480106,0.053281121,0,0.167677743,0.01235724,0.019956738,0.107062743,0,0,0.039606912,0.003524824,0.148731836,0.144793706,0.116171891,0.052215339,0,0.058850061,0,0,0.000694001,0.052,0.166337254,1.024842423
