Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006955~immune response	81	13.432835820895523	2.4303257434382634E-36	CD86, CIITA, GPR65, LST1, PIK3CD, FASLG, CTSW, ETS1, TNF, PIK3CG, CTSS, TNFSF13B, IL27RA, SPN, IL18RAP, RGS1, CTSK, CTLA4, CCR7, CCR5, CCR4, TNFRSF4, TRIM22, CCR2, HLA-DPA1, CMKLR1, CD96, IL16, SERPINB9, PDCD1LG2, LAX1, GEM, VAV1, ZAP70, NCR3, CD8A, PECAM1, APLNR, IRF8, LCP2, LTB, HLA-DQB1, PTGER4, IGSF6, WAS, CXCR4, CD1E, CXCR6, CD1C, CST7, IL2RG, CRIP1, PIK3R6, PIK3R5, CD79B, HLA-DMA, HLA-DMB, CXCR3, CCL5, CCL4, CCL3, CCL2, CCL19, ICOS, S1PR4, HLA-DQA1, CCR1, SEMA4D, CCL21, GZMA, LILRB2, CD4, CD40LG, CXCL12, GPR183, HLA-DPB1, HLA-DRA, TNFSF8, IL7R, HLA-DRB1, C1QC	574	505	19734	5.51438230931107	6.97017423218094E-33	6.97017423218094E-33	6.537576249848929E-33
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	58	9.618573797678277	1.7091796437338744E-22	GPR68, ITGB2, PIK3CD, TNF, PIK3CG, PSTPIP1, IL18RAP, C3AR1, CCR7, CCR5, CCR4, TNFRSF4, CCR2, HAVCR2, CMKLR1, PTGDR, GBP5, CD96, PTGIR, ANXA1, NFAM1, CD180, F2R, CYBB, CYBA, HCK, NCR3, XCL2, PRKCQ, PTGER4, CSF1R, LXN, PTGER2, FPR1, CXCR4, FPR3, CXCR6, AIF1, IFI16, CLEC7A, CXCR3, CCL5, CCL4, CCL3, CCL2, NLRP3, CCL19, KLRG1, CCR1, GGT5, TGFB1, CCL21, LY86, NKG7, SELP, CD40LG, AXL, CAMK4	574	422	19734	4.725184536882606	4.901927218228752E-19	1.6409803218841053E-19	1.539134262855036E-19
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	60	9.950248756218906	1.7165066128494825E-22	CD86, ITK, CD84, CLEC10A, PIK3CD, CD3G, PRDM1, CD3E, CD3D, PIK3CG, CTSS, SIT1, CTLA4, HLA-DOA, JAK3, HAVCR2, HLA-DPA1, EOMES, ANXA1, SYK, PRKCB, THEMIS, PDCD1LG2, LAX1, MPEG1, CLEC4A, ZAP70, CD8A, BTK, HLA-DQB1, CD1E, CD1C, CD79B, CD79A, HLA-DMA, KLRK1, HLA-DMB, KLRC4-KLRK1, BTLA, SLAMF7, FYN, HLA-DQA1, LAIR1, SLAMF1, TRAT1, CRTAM, SIGLEC10, SH2D1A, LILRB1, LILRB2, MCOLN2, LILRB4, CD4, CD6, CAMK4, GPR183, HLA-DPB1, HLA-DRA, CD247, HLA-DRB1	574	452	19734	4.563689062933613	4.922940965652316E-19	1.6409803218841053E-19	1.539134262855036E-19
GOTERM_BP_DIRECT	GO:0007165~signal transduction	101	16.749585406301822	3.638352593915971E-21	CD83, GMFG, SLA, FGF7, RASSF2, SIT1, RGS1, PLAU, GRAP2, PRKCH, PRKCB, CLEC11A, MATK, FLT3LG, GEM, DOK2, TYROBP, CD226, ERG, CARD16, CSF1R, PDE1B, PDE1A, SH2D2A, FPR1, DAPP1, FPR3, CSF2RB, ARHGAP15, RASGRP1, CD79B, KLRK1, GRK5, INPP5D, NLRP3, LPXN, PILRA, ARHGAP25, GNG11, CXCL12, TNFSF8, GRAP, IL7R, HLA-DRB1, ARHGAP9, ACVRL1, ITK, IL24, PIK3CD, FASLG, LSP1, TNFSF13B, SPN, PSTPIP1, TAGAP, CASP1, RAC2, TIMP1, CLIC2, CD33, CD53, ANXA1, RIPK3, SYK, NFAM1, RHOH, IL16, GAB3, ITPKB, FGR, CD200R1, LCK, CDC42EP3, PECAM1, XCL2, LTA, HCLS1, LTB, IL2RG, GPNMB, KLRC4-KLRK1, CCL4, CEACAM21, CCL2, FYN, IL12RB1, TRAT1, TIE1, VEGFC, LILRB1, LILRB2, CD4, P2RX5, CLEC2B, AXL, CAMK4, P2RX1, IL2RB, PTPN7, CCDC3, ASB2	574	1240	19734	2.8002894234011464	1.0434795239351005E-17	2.6086988098377513E-18	2.4467921194084905E-18
GOTERM_BP_DIRECT	GO:0042110~T cell activation	23	3.814262023217247	4.954578582535139E-19	CD86, ITK, CD84, WAS, PIK3CD, NLRC3, CD3G, SLA2, CD3E, RASGRP1, LY9, PIK3CG, CD2, ZAP70, CD4, PTPRC, CLEC7A, CD8A, CD28, CEACAM21, SLAMF7, SLAMF6, TNFAIP8L2	574	60	19734	13.178919860627177	1.4209731374710777E-15	2.8419462749421557E-16	2.665563277403905E-16
GOTERM_BP_DIRECT	GO:0042102~positive regulation of T cell proliferation	21	3.482587064676617	2.5416347563512393E-16	SASH3, CD86, ANXA1, LILRB2, PDCD1LG2, CD3E, AIF1, CORO1A, TNFSF13B, SPN, HLA-DMB, PTPRC, CD40LG, CD6, CCL5, HLA-DPB1, CD28, NCKAP1L, CCL19, HAVCR2, HLA-DPA1	574	61	19734	11.835665733706517	6.368239269249898E-13	1.2149014135358923E-13	1.1394995824308056E-13
GOTERM_BP_DIRECT	GO:0032729~positive regulation of type II interferon production	23	3.814262023217247	2.973975030098523E-16	SASH3, EBI3, CRTAM, LILRB1, PTPN22, CD3E, RASGRP1, TNF, IL27RA, CD2, KLRK1, CLEC7A, KLRC4-KLRK1, HLA-DPB1, LTA, IRF8, CD226, SLAMF6, IL12RB1, CCR2, HAVCR2, SLAMF1, HLA-DPA1	574	78	19734	10.137630662020905	9.552358903874847E-13	1.2184800551889378E-13	1.1428561187092894E-13
GOTERM_BP_DIRECT	GO:0031295~T cell costimulation	17	2.8192371475953566	2.6642860853709686E-14	CD86, CCL21, PDCD1LG2, CD3E, VAV1, TNFSF13B, SPN, KLRK1, TMIGD2, CD40LG, CD5, LCK, KLRC4-KLRK1, CD28, FYN, CCL19, ICOS	574	43	19734	13.592010371930963	7.641887123099877E-11	9.551465616054923E-12	8.958661962059882E-12
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	40	6.633499170812604	3.9810592308437063E-14	CD86, IFITM1, IGSF6, SIGLEC9, MS4A7, CD3G, CD3E, CD3D, IL27RA, SPN, CYSLTR1, CXCR3, CCL2, FCER1A, CCR5, KLRG1, CCR1, FCRL1, ANXA1, LILRB2, PDCD1LG2, LILRB4, GEM, VAV1, CD2, CLEC4A, ITPKB, MS4A6A, DOK2, CD4, PTPRC, FCGR2A, CD8A, CD28, PECAM1, CD27, CD247, IL7R, CLEC2D, MS4A1	574	321	19734	4.2840860985378875	1.1430989488303567E-10	1.2686308748955278E-11	1.1898943701077301E-11
GOTERM_BP_DIRECT	GO:0045087~innate immune response	51	8.45771144278607	3.4918622434283746E-13	CD84, NCF1, CLEC10A, PIK3CD, PRDM1, PIK3CG, PSTPIP1, TNFAIP8L2, JAK3, TRIM22, HAVCR2, GBP5, FCER1G, ANXA1, SYK, CD180, RNASE6, CYBB, CYBA, FGR, ZAP70, HCK, LCK, BTK, C1QB, CSF1R, C1QA, HVCN1, CORO1A, LY9, LILRA5, C7, IFI16, CLEC7A, NLRP3, SLAMF6, FYN, SLC15A3, SLAMF1, KLRG1, APOBEC3C, APOBEC3D, APOBEC3G, APOBEC3H, SIGLEC10, LY86, MCOLN2, GZMM, CD6, AXL, C1QC	574	536	19734	3.2712114514535338	1.0014056250895464E-9	1.0014660914152578E-10	9.393109434822328E-11
