Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	87	14.427860696517413	2.7475324127385197E-48	FCN1, CD86, CD84, CD83, CLEC10A, ITGB2, CD3G, CLEC14A, FASLG, CD3E, LRRC32, CD3D, ANTXR1, TNF, IL27RA, SPN, THBD, CDH5, PLAU, CTSK, ITGAX, FCER1A, CTLA4, CCR7, CCR5, CCR4, TNFRSF4, CD33, CCR2, FCER1G, CD93, ITGA4, PDCD1LG2, CLEC4A, CD200R1, TMIGD2, CD8A, PECAM1, APLNR, CD226, CD48, MS4A1, HLA-DQB1, ITGA9, ENG, EBI3, AGAP2, CXCR4, CD1E, CSF2RB, CXCR6, CD1C, IL2RG, LY9, CD79B, CD79A, KLRK1, CXCR3, KLRC4-KLRK1, IL21R, CEACAM21, SLAMF7, SLAMF6, IL12RB1, SLAMF1, CCR1, CD74, LILRB1, SELP, CD2, CD4, PTPRC, FCGR2A, CD40LG, CXCL12, CLEC2B, SELL, CD5, P2RX1, IL2RB, HLA-DPB1, CD28, CD27, CD69, IL7R, CLEC2D, HLA-DRB1	592	429	20887	7.155110092610093	1.0440623168406375E-45	1.0440623168406375E-45	9.204233582674041E-46
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	314	52.072968490878935	8.252147408202797E-43	IFITM1, TRAF3IP3, CPNE5, CLEC10A, LST1, ICAM2, PRF1, SLA2, ANTXR1, IL27RA, GPR174, PREX1, RASSF2, GJA4, GPR171, TBC1D10C, C3AR1, PIP4K2A, PTGDR, CMKLR1, PRKCH, PRKCB, SYTL1, FLT3LG, UNC5C, BIN2, BTK, CD226, PRKCQ, EPHA3, IGSF6, TSHZ3, GYPC, EBI3, FPR1, FPR3, CD1E, CD1C, LY9, PIK3R6, PIK3R5, CD79B, CD79A, KLRK1, C7, INPP5D, EPB41L3, SLAMF7, SLAMF6, NCKAP1L, ICOS, HLA-DQA1, SLAMF1, CCR1, NGFR, SIGLEC10, RAB39B, PILRA, GNG11, PARVG, LPAR6, GPR183, CD28, ITGBL1, CD27, FXYD6, TNFSF8, FXYD5, GRAP, ITM2A, HLA-DRB1, CD200, GPR18, GAPT, ACVRL1, ITK, SIGLEC9, CD3G, LRRC32, CD3E, CD3D, MS4A4A, LIMD2, GPR132, TUBA1A, C1QTNF1, CTSK, RAC2, FCER1A, CTLA4, CCR7, CD37, EMB, CLIC2, CCR5, JAK3, CCR4, CD33, HLA-DPA1, CCR2, FCRL1, CD53, CD52, FCER1G, ANXA1, SYK, NFAM1, TMC8, GPBAR1, RHOH, IL16, EMP3, PDCD1LG2, RAB33A, VAV1, MS4A6A, HCK, NCR3, CD200R1, CDC42EP3, GAS1, HCLS1, CD48, HCST, HLA-DQB1, ENG, PTGER4, RAMP2, RAMP3, SELPLG, PTGER2, KCNA3, WAS, CXCR4, NEXN, CXCR6, ADCY7, STX11, LILRA5, FGD5, GPNMB, CXCR3, IL12RB1, JAM2, LAIR1, P2RY13, CD74, P2RY10, CD72, IL10RA, P2RY14, GPR55, LAPTM5, LILRB1, GPR4, LILRB2, LILRB4, DEF6, CD40LG, AXL, STK17B, HLA-DPB1, CD69, SIGLEC7, FCN1, CD86, CD84, CD83, NCF1, GPR68, DGKA, GPR65, NCF4, SIRPG, SLA, LRRC70, TNF, SLC8A1, STK10, CDH5, CYSLTR1, IL18RAP, SIT1, BASP1, PLAU, RGS1, GRAP2, SVEP1, HLA-DOA, TNFRSF4, PPP1R16B, CD96, CD93, F2R, CD180, MATK, CYBB, CYBA, IPCEF1, LAX1, GEM, CLEC4A, TYROBP, RAB31, CD8A, SLC9A9, SIDT1, APLNR, CARD16, PTPRCAP, CSF1R, HVCN1, ECSCR, DAPP1, CSF2RB, ARHGAP15, RASGRP1, CORO1A, RASGRP3, CALHM2, ADAP2, GRK5, CLEC7A, BTLA, LPXN, CD300LF, GGT5, TGFB1, CRTAM, SLC4A10, NKG7, SELP, PTPRE, PTPRC, SELL, TMEM119, HLA-DRA, NMUR1, IL7R, FLT3, CNRIP1, DOCK8, ITGB2, MS4A7, PLEK, PIK3CD, FASLG, LDB2, LSP1, PIK3CG, TNFSF13B, SPN, THBD, PSTPIP1, ITGAX, CASP1, GPSM3, PTGIR, CR1, ITGA4, PVRIG, MMP2, FGR, ARL4C, ZAP70, LCK, PECAM1, LTA, LCP1, LTB, DOCK2, MS4A1, ITGA9, RGS18, SLC24A4, IL2RG, TSPAN32, GNG2, CYTH4, TMEM204, KLRC4-KLRK1, LRRC8C, IL21R, CEACAM21, FYN, TIGIT, SH2B3, S1PR4, KLRG1, SEMA4D, PDE6G, TRAT1, TIE1, APOBR, MCOLN2, CD2, FMNL1, CD4, P2RX5, FCGR2A, CLEC2B, CD6, CD5, P2RX1, IL2RB, RGS10, PTPN7, VIM, TEK, CD247, EVI2B, CLEC2D, MYO1F, MYO1G	592	5592	20887	1.981147657850984	3.135816015117063E-40	1.5679080075585316E-40	1.3822346908739686E-40
GOTERM_CC_DIRECT	GO:0009986~cell surface	73	12.106135986733001	2.708600239655735E-23	CD86, ACVRL1, SRPX, CIITA, ITGB2, CLEC9A, LRRC32, ANTXR1, TNF, SPN, THBD, CDH5, PLAU, ITGAX, FCER1A, CCR7, CCR5, TNFRSF4, CD33, HAVCR2, HLA-DPA1, FCRL1, CD53, FCER1G, ANXA1, CR1, CD93, ITGA4, F2R, BGN, FLT3LG, UNC5C, CD200R1, TYROBP, CD226, MS4A1, HCST, ENG, CSF1R, RAMP2, RAMP3, CXCR4, IL2RG, TSPAN32, LILRA5, HLA-DMA, KLRK1, CLEC7A, CXCR3, KLRC4-KLRK1, SLAMF8, CEACAM21, TIGIT, JAM2, NGFR, CD74, TGFB1, LILRB2, LILRB4, CD2, PTPRC, CD40LG, CD6, AXL, IL2RB, HLA-DPB1, CD28, ITGBL1, HLA-DRA, TEK, CLEC2D, HLA-DRB1, CD200	592	657	20887	3.920232732732733	1.0292680910691792E-20	3.430893636897264E-21	3.024603600948904E-21
GOTERM_CC_DIRECT	GO:0062023~collagen-containing extracellular matrix	44	7.2968490878938645	1.240357675855149E-13	C1QB, FCN1, C1QA, SRPX, LAMA2, COL14A1, FGL2, DPT, LTBP2, CLEC14A, PRELP, AEBP1, THBS2, FBLN2, FBLN5, CTSS, LOXL1, ADAMTS4, CLEC3B, ADAMTS2, EFEMP1, ADAMTS1, ABI3BP, TIMP2, IGFBP7, EMILIN1, TGFB1, ANXA1, LUM, MMP2, BGN, SERPINB9, PODN, DCN, ASPN, MFAP4, CXCL12, COL6A2, MMP23B, MMRN2, MGP, S100A4, FMOD, C1QC	592	408	20887	3.8049317700053	4.7124526503239395E-11	1.1783397920623917E-11	1.0387995535286874E-11
GOTERM_CC_DIRECT	GO:0001772~immunological synapse	16	2.6533996683250414	1.1390298754373166E-12	CD53, GZMA, CRTAM, PRF1, RHOH, CD3E, CORO1A, ZAP70, CD6, LCK, CD28, HLA-DRA, PRKCQ, CD37, HLA-DRB1, HAVCR2	592	46	20887	12.272032902467686	4.328115643659203E-10	8.656627053323606E-11	7.631500165430022E-11
GOTERM_CC_DIRECT	GO:0005576~extracellular region	111	18.407960199004975	1.2081961838739988E-10	FCN1, GMFG, PRF1, TNF, LOXL1, ISLR, FGF7, EFEMP1, PLAU, COTL1, SVEP1, PTGDS, F2R, CLEC11A, RNASE6, FLT3LG, MPEG1, CCDC80, BIN2, CRISPLD2, CD8A, S100A4, EPHA3, EBI3, C1ORF54, LTBP2, AEBP1, FBLN2, FBLN5, PLAC9, C7, ST8SIA4, NLRP3, IGFBP7, ICOS, NGFR, TGFB1, SIGLEC10, LY86, CXCL12, TMEM119, ITGBL1, CD27, IL7R, FERMT3, ARHGAP9, CPXM2, COL14A1, IL24, PLEK, FASLG, CTSW, CTSS, IL18BP, TNFSF13B, ADAMTS4, ADAMTS2, C1QTNF1, ADAMTS1, CTSK, TIMP2, EMILIN1, TIMP1, SRGN, CD52, ANXA1, MMP2, BGN, IL16, PDCD1LG2, DCN, FGR, CD200R1, COL6A2, MZB1, XCL2, PLEKHO2, DOCK2, C1QB, C1QA, LAMA2, FGL2, PRELP, AOAH, THBS2, LILRA5, CLEC3B, FRZB, ABI3BP, SPOCK2, CCL5, CCL4, CCL3, CCL2, CCL19, IL33, CCL21, LUM, VEGFC, LILRB1, CD2, GZMK, IGLL5, MFAP4, GZMM, CD6, MNDA, TEK, CCDC3, FMOD, C1QC	592	2101	20887	1.8640230842455974	4.5911438095735946E-8	7.651909164535327E-9	6.745762026629827E-9
GOTERM_CC_DIRECT	GO:0005615~extracellular space	106	17.5787728026534	7.611875779361832E-10	FCN1, LRRC70, TNF, LOXL1, ISLR, FGF7, EFEMP1, PLAU, DPYSL3, SVEP1, PTGDS, CLEC11A, CD180, RNASE6, FLT3LG, CRISPLD2, ADPRH, S100A4, LXN, EBI3, DPT, CD1E, LTBP2, AEBP1, CD1C, FBLN5, C7, IGFBP7, TGFB1, SELP, SELL, TNFSF8, HLA-DRB1, MOXD1, CPXM2, COL14A1, IL24, AKR1B1, FASLG, CTSW, LRRC32, HAPLN3, CTSS, IL18BP, TNFSF13B, ADAMTS4, SPN, THBD, C1QTNF1, GLIPR2, CTSK, TIMP2, EMILIN1, TIMP1, SRGN, ANXA1, CR1, PTGIS, MMP2, BGN, TMC8, IL16, SERPINB9, ASPN, DCN, COL6A2, MMP23B, MMRN2, PECAM1, XCL2, LTA, LCP1, LTB, MS4A1, HLA-DQB1, ENG, FGL2, PRELP, CST7, LILRA5, CLEC3B, FRZB, ABI3BP, SPOCK2, CCL5, CCL4, CCL3, CCL2, SLIT3, CCL19, IL33, SEMA4D, CCL21, LUM, GZMA, VEGFC, LILRB2, PODN, SMOC2, MFAP4, CD40LG, CD6, AXL, HLA-DPB1, FMOD, C1QC	592	2033	20887	1.839597652251366	2.8925123007894626E-7	4.132161137367852E-8	3.642826265837448E-8
GOTERM_CC_DIRECT	GO:0016020~membrane	208	34.49419568822554	1.2319751731324473E-9	IFITM1, SPI1, TRAF3IP3, CLEC10A, LST1, ICAM2, PRF1, GPR171, TBC1D10C, PTGDR, CMKLR1, GBP5, GIMAP1-GIMAP5, FLT3LG, UNC5C, GBGT1, CCDC80, IGSF6, GYPC, AGAP2, FPR1, FPR3, PIK3R6, PIK3R5, LDHB, KLRK1, CHST11, SLAMF8, NCKAP1L, ICOS, HLA-DQA1, NGFR, ST8SIA1, PILRA, LPAR6, FXYD6, TNFSF8, FXYD5, HLA-DRB1, CD200, GPR18, FERMT3, SRPX, CTSW, CLEC9A, IL18BP, GPR132, FCER1A, CD37, EMB, CLIC2, CCR5, JAK3, HLA-DPA1, CCR2, HAVCR2, MAP4K1, CD53, CD52, NFAM1, SERPINB9, GAB3, EMP3, PARP8, ITPKB, MS4A6A, MMP23B, CDC42EP3, GAS1, CD48, HLA-DQB1, ENG, PTGER4, C1QB, RAMP2, SELPLG, KCNA3, CXCR4, ADCY7, TMEM71, HLA-DMA, MYCT1, HLA-DMB, GPNMB, FRZB, CXCR3, FILIP1L, JAM2, IL33, CD74, P2RY10, IL10RA, P2RY14, GPR55, VEGFC, FMO2, LILRB2, DEF6, CD40LG, ABI3, AXL, HLA-DPB1, CD83, NCF1, GPR68, DGKA, GPR65, GIMAP1, NCF4, SIRPG, GIMAP5, SLC8A1, DOCK10, CDH5, CYSLTR1, ARHGDIB, SVEP1, CD96, MATK, CYBA, LAX1, ERMN, CLEC4A, ACAP1, TYROBP, SLC9A9, DPEP2, MAL, CSF1R, AKNA, KCNE4, HVCN1, GLT8D2, CSF2RB, LTBP2, RASAL3, FBLN2, RASGRP1, CORO1A, ITPRIPL1, CALHM2, CLEC7A, LPXN, NLRP3, C16ORF54, SLC4A10, NKG7, PTPRE, PTPRC, RCAN2, TBXAS1, BCL2, HLA-DRA, NMUR1, FLT3, DOCK8, ITGB2, MS4A7, PLEK, ATP2A3, FASLG, LSP1, PIK3CG, TNFSF13B, SPN, ADAMTS4, THBD, PSTPIP1, DSE, ITGAX, ACP5, PTGIR, CR1, ITGA4, C1ORF162, TMIGD2, LTA, LTB, DOCK2, SLC24A4, LAMA2, IL2RG, TSPAN32, GNG2, PLN, IFI16, KLRC4-KLRK1, LRRC8C, IL21R, CEACAM21, CYYR1, TIGIT, KLRG1, SEMA4D, TIE1, APOBR, MCOLN2, GZMH, FMNL1, GZMM, EVI2A, FCGR2A, P2RX1, ALOX5AP, IL2RB, EVI2B, CLEC2D, MYO1G	592	5048	20887	1.4537788580974003	4.681504623960109E-7	5.8518820723791247E-8	5.158896037492123E-8
GOTERM_CC_DIRECT	GO:0042613~MHC class II protein complex	10	1.658374792703151	2.223828265366803E-8	CD74, HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	592	26	20887	13.570036382536383	8.450511798874238E-6	8.697291926902612E-7	7.667349461874671E-7
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	26	4.311774461028192	2.288761033395424E-8	COL14A1, LTBP2, LRRC70, PRELP, LRRC32, FBLN2, FBLN5, ADAMTS4, ISLR, ADAMTS2, EFEMP1, ADAMTS1, SPOCK2, TIMP2, TIMP1, TGFB1, CD93, LUM, MMP2, CD180, BGN, ASPN, CRISPLD2, MMP23B, MGP, FMOD	592	240	20887	3.8222269144144145	8.69725421592804E-6	8.697291926902612E-7	7.667349461874671E-7
