Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	38	6.301824212271974	3.785140290987946E-17	ITK, NCF1, WAS, CXCR4, PIK3CD, CXCR6, ADCY7, PIK3R6, PIK3CG, PIK3R5, PREX1, GNGT2, GNG2, GRK5, CCL5, CXCR3, CCL4, CCL3, RAC2, CCL2, CCR7, CCL19, CCR5, JAK3, CCR4, CCR2, CCR1, CCL21, PRKCB, GNG11, VAV1, FGR, HCK, CXCL12, GNB4, XCL2, DOCK2, PLCB2	326	193	8840	5.339012683174926	9.538553533289625E-15	9.287840242019305E-15	7.223875743792794E-15
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	28	4.643449419568822	7.371301779380401E-17	CSF1R, FLT3, CD1E, CD3G, CD1C, CD3E, CD3D, TNF, HLA-DMA, HLA-DMB, CD37, HLA-DOA, HLA-DQA1, CD33, HLA-DPA1, CR1, ITGA4, FLT3LG, CD2, CD4, CD5, CD8A, HLA-DPB1, HLA-DRA, IL7R, MS4A1, HLA-DRB1, HLA-DQB1	326	99	8840	7.669331350312945	2.7977620220553945E-14	9.287840242019305E-15	7.223875743792794E-15
KEGG_PATHWAY	hsa04514:Cell adhesion molecules	33	5.472636815920398	1.0174900647131308E-15	CD86, SELPLG, ITGB2, ICAM2, SPN, CDH5, HLA-DMA, HLA-DMB, CTLA4, ICOS, TIGIT, HLA-DOA, HLA-DQA1, JAM2, HLA-DPA1, ITGA4, PDCD1LG2, SELP, CD2, CD4, PTPRC, CD40LG, SELL, CD6, CD8A, HLA-DPB1, CD28, PECAM1, HLA-DRA, CD226, HLA-DRB1, ITGA9, HLA-DQB1	326	157	8840	5.699660036731664	2.517985819849855E-13	8.546916543590298E-14	6.647601756125788E-14
KEGG_PATHWAY	hsa04659:Th17 cell differentiation	27	4.477611940298507	8.399084067644461E-15	EBI3, CD3G, CD3E, IL2RG, CD3D, IL27RA, HLA-DMA, HLA-DMB, TBX21, IL21R, IL12RB1, HLA-DOA, JAK3, HLA-DQA1, HLA-DPA1, TGFB1, NFATC1, ZAP70, CD4, LCK, IL2RB, HLA-DPB1, HLA-DRA, PRKCQ, CD247, HLA-DRB1, HLA-DQB1	326	108	8840	6.779141104294478	2.1262991367621E-12	5.291422962616011E-13	4.115551193145786E-13
KEGG_PATHWAY	hsa04658:Th1 and Th2 cell differentiation	25	4.1459369817578775	1.3454395808017207E-14	CD3G, CD3E, IL2RG, CD3D, HLA-DMA, HLA-DMB, TBX21, STAT4, IL12RB1, HLA-DOA, JAK3, HLA-DQA1, HLA-DPA1, NFATC1, RUNX3, ZAP70, CD4, LCK, IL2RB, HLA-DPB1, HLA-DRA, PRKCQ, CD247, HLA-DRB1, HLA-DQB1	326	92	8840	7.368631635102695	3.3852920466870273E-12	6.781015487240672E-13	5.274123156742746E-13
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	43	7.131011608623548	2.8152829297421716E-14	ACVRL1, CSF1R, IL24, EBI3, CXCR4, CSF2RB, FASLG, CXCR6, IL2RG, TNF, TNFSF13B, IL27RA, IL18RAP, CCL5, CXCR3, CCL4, CCL3, IL21R, CCL2, CCR7, CCL19, IL12RB1, CCR5, CCR4, TNFRSF4, CCR2, CCR1, NGFR, IL33, TGFB1, CCL21, IL10RA, IL16, CD4, CXCL12, CD40LG, IL2RB, LTA, XCL2, CD27, TNFSF8, LTB, IL7R	326	298	8840	3.912792852143122	7.106315536020702E-12	1.1824188304917121E-12	9.196590903824427E-13
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	24	3.9800995024875623	2.1612276886190932E-13	CD86, TGFB1, ITGB2, TNF, TNFSF13B, HLA-DMA, HLA-DMB, CXCL12, CTSK, CCL5, HLA-DPB1, CCL3, CD28, CCL2, HLA-DRA, CTLA4, ACP5, TEK, LTB, HLA-DOA, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	326	94	8840	6.923378149066702	5.447242656941853E-11	7.780419679028735E-12	6.051437528133461E-12
KEGG_PATHWAY	hsa04672:Intestinal immune network for IgA production	18	2.9850746268656714	6.040611406196285E-13	CD86, TGFB1, ITGA4, CXCR4, TNFSF13B, HLA-DMA, HLA-DMB, CXCL12, CD40LG, HLA-DPB1, CD28, HLA-DRA, HLA-DOA, ICOS, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	326	49	8840	9.961186928759233	1.5222623162003401E-10	1.9027925929518298E-11	1.4799497945180897E-11
KEGG_PATHWAY	hsa04061:Viral protein interaction with cytokine and cytokine receptor	23	3.814262023217247	7.353867525549921E-12	CCR1, CSF1R, CCL21, IL10RA, IL24, CXCR4, IL2RG, TNF, IL18RAP, CXCL12, CCL5, CXCR3, IL2RB, CCL4, CCL3, LTA, XCL2, CCL2, CCR7, CCL19, CCR5, CCR4, CCR2	326	100	8840	6.23680981595092	1.8531816081690522E-9	1.9408970547762021E-10	1.5095865981592684E-10
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	27	4.477611940298507	7.701972439588104E-12	CSF1R, SPI1, NCF1, NCF4, SIRPG, ATP2A3, PIK3CD, TNF, LILRA5, SOCS3, CTSK, ACP5, FYN, JUNB, TGFB1, SYK, NFATC1, LILRB1, CYBA, LILRB2, LILRB4, TYROBP, FCGR2A, LCK, CAMK4, BTK, LCP2	326	142	8840	5.155966473688759	1.940891447560489E-9	1.9408970547762021E-10	1.5095865981592684E-10
