Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	32	5.306799336650083	3.2804071066316398E-15	IGSF6, CLEC10A, CD3G, CD3E, ANTXR1, CD3D, IL27RA, CD79B, SPN, CD79A, THBD, KLRC4-KLRK1, IL21R, FCER1A, CD300LF, SLAMF1, FCRL1, NGFR, CD72, SEMA4D, NFAM1, CLEC4A, CD4, P2RX5, EVI2A, FCGR2A, PECAM1, CD27, CD69, CD247, CLEC2D, ENG	577	182	19304	5.882339497590797	2.268185639309195E-12	2.233957239616147E-12	2.106021362457513E-12
GOTERM_MF_DIRECT	GO:0015026~coreceptor activity	18	2.9850746268656714	8.093992308442543E-13	CD86, FCRL1, NGFR, RAMP2, RAMP3, ITGA4, CXCR4, CSF2RB, CXCR6, IL2RG, CD4, IL18RAP, TMIGD2, CD8A, IL2RB, CD28, CCR5, ENG	577	59	19304	10.20685603501454	5.511691103521343E-10	2.7560043810246857E-10	2.598171531010056E-10
GOTERM_MF_DIRECT	GO:0001784~phosphotyrosine residue binding	16	2.6533996683250414	3.263934736832911E-11	ITK, SYK, SH2D3C, SLA, SLA2, SAMSN1, VAV1, FGR, ZAP70, HCK, SOCS3, LCK, GRAP2, STAP1, FYN, GRAP	577	54	19304	9.912831375569677	2.2227387375117758E-8	7.409131852610708E-9	6.98482033682243E-9
GOTERM_MF_DIRECT	GO:0023026~MHC class II protein complex binding	12	1.9900497512437811	1.283441733298693E-10	CD74, HLA-DMA, CD4, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, MS4A1, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	577	27	19304	14.869247063354518	8.740241286275818E-8	2.1850595509410248E-8	2.0599239819444023E-8
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	20	3.316749585406302	1.7826479310004747E-9	SRPX, LAMA2, COL14A1, LUM, FGL2, BGN, DPT, PRELP, LTBP2, AEBP1, THBS2, FBLN2, MFAP4, CD4, EFEMP1, ABI3BP, MGP, MMRN2, IGFBP7, EMILIN1	577	117	19304	5.718941178213275	1.2139824965284873E-6	2.1133884176702125E-7	1.9923573629137687E-7
GOTERM_MF_DIRECT	GO:0005515~protein binding	446	73.96351575456053	1.8620162270222136E-9	SPI1, WIPF1, CLEC10A, SLA2, ZC3H12D, PREX1, SOX17, GJA4, DPYSL3, AP1S2, PIP4K2A, UBASH3A, JUNB, CMKLR1, GBP5, MEF2C, PRKCH, PRKCB, CLEC11A, SYTL1, UNC5C, BIN2, ADPRH, PRR16, HOXB2, PRKCQ, LXN, AGAP2, FPR1, FPR3, PLAC9, LDHB, KLRK1, EPB41L3, NCKAP1L, ICOS, HLA-DQA1, NGFR, NFATC1, FLI1, SNAI1, FXYD6, TNFSF8, FXYD5, HLA-DRB1, ARHGAP9, SRPX, ITK, BTG2, SIGLEC9, TCF21, LRRC32, MS4A4A, C1QTNF1, TUBA1A, TIMP2, CTLA4, TIMP1, JAK3, HAVCR2, BATF3, DUSP2, ANXA1, RIPK3, NFAM1, BGN, TMC8, SERPINB9, EMP3, ITPKB, MS4A6A, CD200R1, ZEB2, TAL1, CDC42EP3, GAS1, HCLS1, PLEKHO1, PLCB2, HCST, HLA-DQB1, ENG, SYNPO2, KCNA3, AOAH, FGD2, HLA-DMA, FGD5, HLA-DMB, GPNMB, FRZB, UCP2, STAT4, CCL19, JAM2, SAMD3, P2RY13, CCL21, IL10RA, LAPTM5, DEF6, SMOC2, ABI3, HLA-DPB1, SIGLEC7, NCF1, NCF4, SLA, TNF, SLC8A1, STK10, CDH5, FGF7, EFEMP1, GRAP2, PIM2, HLA-DOA, TNFRSF4, PPP1R16B, ANKRD44, F2R, CD180, HIC1, ACAP1, RAB31, SLC9A9, MAL, S100A4, ERG, PTPRCAP, CSF1R, KCNE4, ECSCR, DPT, RASAL3, CORO1A, SOCS3, ITPRIPL1, ADAP2, CLEC7A, BTLA, IGFBP7, SLC15A3, CD300LF, GFPT2, LY86, PTPRE, CXCL12, PTPRC, BCL2, HLA-DRA, MOXD1, CIITA, FLT3, ITGB2, PIK3CD, FASLG, PTPN22, LSP1, PIK3CG, TNFSF13B, ADAMTS4, SPN, THBD, PSTPIP1, LBH, SGCA, ADAMTS1, TAGAP, ITGAX, EMILIN1, ZNF521, CR1, ITGA4, PVRIG, SH2D3C, INMT, ARL4C, LCK, HAND2, PECAM1, XCL2, LCP2, ITGA9, FGL2, NLRC3, IL2RG, PLN, IFI16, CCL5, CCL4, CCL3, LRRC8C, IL21R, CCL2, FYN, TIGIT, SH2B3, SEMA4D, TIE1, GZMA, KLF2, GZMK, MFAP4, GZMM, EVI2A, FCGR2A, CLEC2B, POU2AF1, P2RX1, MGP, IL2RB, MNDA, PTPN7, CD247, MYO1F, IFITM1, TRAF3IP3, PRF1, IKZF1, ANTXR1, CCDC102B, IL27RA, LGALS2, RASSF2, TBC1D10C, PTGDS, TRIM22, PTGDR, SFMBT2, FLT3LG, RUNX3, BTK, CD226, KCTD12, ZFPM2, EPHA3, TSHZ3, GYPC, PDE1B, SH2D2A, SP140, EBI3, CD1C, PIK3R6, CD79B, CD79A, INPP5D, SLAMF8, SLAMF6, SLAMF1, CCR1, APOBEC3C, EGR2, APOBEC3G, BCL11B, ST8SIA1, FAM78A, APOBEC3H, SIGLEC10, SH2D1A, RAB39B, PILRA, TRERF1, GNG11, PARP15, PARVG, LPAR6, ID4, CD28, ID3, CD27, GRAP, ITM2A, CD200, ACVRL1, IL24, AKR1B1, CD3G, CD3E, MEOX1, CD3D, LIMD2, CTSK, RAC2, FCER1A, CD37, TNFAIP8L2, CLIC2, CCR5, CCR4, CD33, CCR2, MAP4K1, CD53, FCER1G, SYK, RHOH, GPBAR1, PDCD1LG2, RAB33A, VAV1, HCK, NCR3, TFEC, MZB1, ARHGEF3, CD48, ARHGEF6, PTGER4, C1QB, C1QA, RAMP2, TAGLN, RAMP3, SELPLG, WAS, CXCR4, CST7, AIF1, STX11, CXCR3, LAIR1, IL33, CD74, CD72, VEGFC, LILRB1, LILRB2, LILRB4, CD40LG, AXL, KLHL6, CD69, C1QC, FCN1, CD86, CD84, CD83, SIRPG, GIMAP1, GIMAP5, PRDM1, ETS1, GIMAP7, LOXL1, DOCK10, DOCK11, IL18RAP, CCND2, BASP1, PLAU, SIT1, ARHGDIB, COTL1, SVEP1, ZBP1, CD93, LMO2, MATK, THEMIS, ARID5B, CYBB, CYBA, SHISA3, IPCEF1, LAX1, ERMN, GEM, DOK2, TYROBP, SLFN11, CD8A, APLNR, CARD16, AKNA, DAPP1, CSF2RB, LTBP2, FBLN2, FBLN5, RASGRP3, GRK5, LPXN, STAP1, NLRP3, MYH11, C16ORF54, TGFB1, NKG7, SELP, ARHGAP31, ARHGAP30, SELL, GNB4, TCF4, IL7R, TNFAIP8, CNRIP1, DOCK8, MS4A7, PLEK, HSPB2, ATP2A3, CLEC14A, LDB2, LYL1, CASP1, CYTIP, GPSM3, SRGN, PTGIS, MMP2, DCN, FGR, ZAP70, TMIGD2, COL6A2, MMRN2, LTA, IRF8, DOCK2, MS4A1, RGS18, BCL2A1, THBS2, GNG2, CYTH4, TBX21, SPOCK2, KLRC4-KLRK1, S1PR4, KLRG1, PDE6G, TRAT1, LUM, CD2, FMNL1, CD4, CD6, CD5, ALOX5AP, RGS10, VIM, TEK, ASB2	577	12754	19304	1.1699301731281369	1.268032234769123E-6	2.1133884176702125E-7	1.9923573629137687E-7
GOTERM_MF_DIRECT	GO:0038023~signaling receptor activity	26	4.311774461028192	1.7327144932696694E-8	CD86, CLEC10A, CSF2RB, THBD, KLRK1, CXCR3, KLRC4-KLRK1, SLAMF8, BTLA, ITGAX, CD33, CMKLR1, SLAMF1, KLRG1, NGFR, CD93, SEMA4D, PVRIG, IL10RA, CD2, CD4, CD200R1, CD5, APLNR, TEK, SIGLEC7	577	225	19304	3.866004236472174	1.1799716189919707E-5	1.6856836713094929E-6	1.5891467209701825E-6
GOTERM_MF_DIRECT	GO:0032395~MHC class II receptor activity	8	1.3266998341625207	2.981772893356185E-8	HLA-DMA, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	577	13	19304	20.58818824156779	2.0305667556619333E-5	2.5382341754694524E-6	2.3928727469183387E-6
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	24	3.9800995024875623	4.919922579209133E-8	FCN1, CD72, SIGLEC9, CD93, CLEC10A, CLEC11A, SIGLEC10, CLEC14A, CLEC9A, SELP, CLEC4A, CLEC3B, LGALS2, KLRK1, CLEC2B, SELL, CLEC7A, KLRC4-KLRK1, SVEP1, CD69, CLEC2D, SIGLEC7, CD33, KLRG1	577	204	19304	3.9359771638291368	3.350411232172501E-5	3.7227414182682444E-6	3.5095447731691814E-6
GOTERM_MF_DIRECT	GO:0005102~signaling receptor binding	31	5.140961857379768	7.549825563117442E-7	FCN1, SELPLG, LAMA2, FASLG, TNFSF13B, CDH5, CCL2, FYN, TIGIT, CD72, ANXA1, SYK, SEMA4D, F2R, CRTAM, FLT3LG, CD2, FGR, ZAP70, HCK, TYROBP, PTPRC, CXCL12, LCK, LTA, HLA-DPB1, TNFSF8, LTB, HCST, HLA-DRB1, HLA-DQB1	577	369	19304	2.8106503595365244	5.140111659412971E-4	5.141431208482978E-5	4.8469880115213984E-5
GOTERM_MF_DIRECT	GO:0033691~sialic acid binding	8	1.3266998341625207	3.283559139254244E-6	SELP, FCN1, SIGLEC9, SELL, SIGLEC10, ST8SIA4, SIGLEC7, CD33	577	23	19304	11.636802049581794	0.0022336092192249968	1.897368474270781E-4	1.788708605700208E-4
GOTERM_MF_DIRECT	GO:0016493~C-C chemokine receptor activity	9	1.4925373134328357	3.3433805714022576E-6	CCR1, CXCR3, APLNR, CXCR4, CCR7, CXCR6, CCR5, CCR4, CCR2	577	32	19304	9.40944540727903	0.0022742559275931162	1.897368474270781E-4	1.788708605700208E-4
GOTERM_MF_DIRECT	GO:0030021~extracellular matrix structural constituent conferring compression resistance	7	1.1608623548922055	4.266337087464176E-6	LUM, BGN, PRELP, PODN, FMOD, DCN, ASPN	577	16	19304	14.636915077989602	0.0029011652172300506	2.234904274279311E-4	2.1069141616553857E-4
GOTERM_MF_DIRECT	GO:0004715~non-membrane spanning protein tyrosine kinase activity	10	1.658374792703151	7.240652790500519E-6	FGR, ITK, ZAP70, HCK, SYK, LCK, MATK, BTK, FYN, JAK3	577	46	19304	7.2730012809886215	0.004918765459434815	3.5220603930934667E-4	3.3203564939295234E-4
GOTERM_MF_DIRECT	GO:0042608~T cell receptor binding	6	0.9950248756218906	1.5471394479367416E-5	LCK, HLA-DRA, CD3G, DOCK2, CD3E, HLA-DRB1	577	12	19304	16.727902946273833	0.010480790853098276	7.024013093632807E-4	6.621756837169254E-4
GOTERM_MF_DIRECT	GO:0042288~MHC class I protein binding	7	1.1608623548922055	2.5451039519795277E-5	KLRK1, CD8A, KLRC4-KLRK1, CD48, LILRB1, LILRB2, PILRA	577	21	19304	11.151935297515886	0.017183036865483503	0.0010832598695612865	0.0010212229607317856
GOTERM_MF_DIRECT	GO:0005178~integrin binding	17	2.8192371475953566	2.8745618355200455E-5	SYK, ITGA4, ITGB2, ICAM2, FBLN5, SELP, CXCL12, CD40LG, GPNMB, ITGAX, ITGBL1, CD226, SVEP1, LCP1, JAM2, ITGA9, FERMT3	577	162	19304	3.510794445514261	0.019385680879120737	0.0011515156529347949	0.0010855698225905113
GOTERM_MF_DIRECT	GO:0019957~C-C chemokine binding	8	1.3266998341625207	3.569794028825946E-5	CCR1, CXCR3, APLNR, CXCR4, CXCR6, CCR5, CCR4, CCR2	577	32	19304	8.363951473136915	0.02401760560395949	0.0012942148478714605	0.0012200968169360903
GOTERM_MF_DIRECT	GO:0005518~collagen binding	11	1.8242122719734661	3.610878430184691E-5	C1QTNF1, LUM, COL14A1, ABI3BP, CTSK, COL6A2, SPOCK2, AEBP1, PODN, ANTXR1, CTSS	577	69	19304	5.333534272724989	0.024290642222281944	0.0012942148478714605	0.0012200968169360903
GOTERM_MF_DIRECT	GO:0004896~cytokine receptor activity	9	1.4925373134328357	4.8699554285887394E-5	CD74, FLT3, EBI3, IL2RB, IL21R, CSF2RB, IL7R, IL2RG, IL12RB1	577	45	19304	6.691161178509533	0.032621268487930566	0.0016582198234344656	0.0015632556925769855
GOTERM_MF_DIRECT	GO:0005154~epidermal growth factor receptor binding	9	1.4925373134328357	5.742774407470323E-5	FGR, ITK, EFEMP1, LCK, SLA, FYN, GRAP, SLA2, MS4A1	577	46	19304	6.54570115288976	0.038354516693691054	0.0018622997007082334	0.0017556481759980703
