"","cor","pvalue"
"1/2-SBSRNA4",-0.02035455624084,0.75932561036135
"A1BG",0.0531436254416571,0.42247268169854
"A1BG-AS1",0.0640234935576648,0.333710896415113
"A1CF",-0.190101287032381,0.00380664483183603
"A2LD1",-0.0845209269186532,0.201557808200191
"A2M",0.348567947214069,5.67632704021529e-08
"A2ML1",NA,NA
"A2MP1",0.155401907339108,0.020247683370207
"A4GALT",0.438899174724066,3.01072654799366e-12
"A4GNT",NA,NA
"AAAS",-0.166611016041941,0.0113826156228349
"AACS",-0.0154536124083043,0.815681709403262
"AADAC",-0.119210974829779,0.0711507921783851
"AADAT",-0.177172807958504,0.00706717336984952
"AAGAB",0.00891529462847695,0.893028446333279
"AAK1",0.141107906093919,0.0324306435217908
"AAMP",-0.189798449125987,0.0038639545050322
"AANAT",0.0551174501651909,0.430229001161569
"AARS",-0.0989077470599794,0.134782194084206
"AARS2",-0.289765283869796,7.94103956254603e-06
"AARSD1",-0.243193578766816,0.000195947278284972
"AASDH",-0.0566113335054072,0.392794121624157
"AASDHPPT",-0.0834580528477304,0.207305593352137
"AASS",-0.287069512918259,9.7176627852037e-06
"AATF",-0.139778421332146,0.034115225650899
"AATK",0.136491892457977,0.0386011235743471
"ABAT",-0.143682796869457,0.0293687345823721
"ABCA1",0.141934593877309,0.0314192639845438
"ABCA10",0.197334886382673,0.00270487858016169
"ABCA11P",0.0377942528647812,0.56850197558716
"ABCA12",-0.0337492892392696,0.630102109133482
"ABCA13",-0.129813212861019,0.0622833467416951
"ABCA17P",-0.0554428675130865,0.43206329185573
"ABCA2",-0.0352332514137665,0.595008257660473
"ABCA3",-0.0491810404605727,0.457934111865851
"ABCA4",-0.0642920406289495,0.332748027480819
"ABCA5",-0.108335207425442,0.101242411977121
"ABCA6",-0.16845282691818,0.0104941058269772
"ABCA7",0.27458887120088,2.4094690299169e-05
"ABCA8",-0.158535480994267,0.0161084773065407
"ABCA9",0.114709391864957,0.0825797087815872
"ABCB1",-0.038550903037398,0.560779387613647
"ABCB10",-0.0916169723306645,0.166118531399846
"ABCB11",-0.149736754377746,0.0234317612839193
"ABCB4",-0.135210019466604,0.0404809963864596
"ABCB6",-0.370734423628471,6.63812829360876e-09
"ABCB7",-0.177959391595211,0.00681369301982415
"ABCB8",-0.126675047206308,0.0550615572511991
"ABCB9",-0.00988789244278218,0.881440063611682
"ABCC1",0.192139398607857,0.00344049311999023
"ABCC10",-0.00203754151990184,0.97548285787432
"ABCC11",-0.132556867215729,0.0450889679199316
"ABCC12",NA,NA
"ABCC2",-0.150604231972581,0.0223346371918913
"ABCC3",-0.0497766359893519,0.452500472009869
"ABCC4",0.0618047790699964,0.350767628694927
"ABCC5",0.113742136435743,0.0852188050282822
"ABCC6",-0.210419107750405,0.00132832233215966
"ABCC6P1",-0.0995946171362752,0.133793171516766
"ABCC6P2",-0.250694839984572,0.000125895743274027
"ABCC8",NA,NA
"ABCC9",-0.273763635405704,2.55465276886165e-05
"ABCD1",-0.0727567846880292,0.271830702572575
"ABCD2",0.405282814083393,2.89328773906613e-10
"ABCD3",-0.187018366412933,0.00442758458678765
"ABCD4",0.0916118144702435,0.166142479115835
"ABCE1",0.0550923216904475,0.405637036770837
"ABCF1",-0.185679110408117,0.00472466552671921
"ABCF2",-0.0936413601610802,0.156917210332645
"ABCF3",-0.192315166014397,0.00341045855321413
"ABCG1",0.361586548470339,1.64177189443048e-08
"ABCG2",-0.266053173128084,4.37340705592445e-05
"ABCG4",0.126395284630589,0.0668848462799523
"ABCG5",-0.116461452643019,0.077967148899711
"ABCG8",-0.183287915329452,0.0052999632045614
"ABHD1",-0.330916522852683,2.79593901426752e-07
"ABHD10",-0.25425554276323,9.64953756649065e-05
"ABHD11",-0.0808145410518597,0.222111181422703
"ABHD11-AS1",NA,NA
"ABHD12",-0.0351095830192138,0.596302289209048
"ABHD12B",-0.150874454266071,0.0236058652852644
"ABHD13",0.11525428280856,0.0811222352375736
"ABHD14A",-0.119763886884813,0.069840462669036
"ABHD14A-ACY1",-0.177807019132264,0.00686215242980714
"ABHD14B",-0.0830790666124005,0.209383370547321
"ABHD15",-0.121926937870942,0.0649021093476033
"ABHD16A",-0.150726479468218,0.0222247817438001
"ABHD16B",-0.0342911996264359,0.604897531121217
"ABHD2",-0.171821287696243,0.00902651538754142
"ABHD3",0.0520933899635188,0.431712272450743
"ABHD4",-0.147100523821801,0.0256887579930223
"ABHD5",-0.000779997724006036,0.990613262574553
"ABHD6",-0.148826485962712,0.0239859642612797
"ABHD8",-0.206111251223812,0.00167447297239374
"ABI1",0.142828867862329,0.0303555867297382
"ABI2",0.201045943589516,0.00218586137383357
"ABI3",0.660554712752121,3.28700443358125e-30
"ABI3BP",0.595032415944949,2.02399986936346e-23
"ABL1",0.0444035655121094,0.502809999527316
"ABL2",0.103344665101032,0.118064861901518
"ABLIM1",-0.222812462501805,0.000665053369289424
"ABLIM2",0.117386165516089,0.0756180542682027
"ABLIM3",0.0457960425204833,0.489496426872646
"ABO",0.0429963667322726,0.543464789619727
"ABP1",-0.0720812518317498,0.309211478632643
"ABR",0.441813224375942,2.08106460746405e-12
"ABT1",-0.138583003453283,0.0356928102606338
"ABTB1",0.118925690828567,0.0718346676957378
"ABTB2",-0.243494811942148,0.000192285603337938
"ACAA1",-0.236128758793992,0.000302930473892443
"ACAA2",-0.17011956776081,0.00974347020136904
"ACACA",-0.29575775943125,5.03186969185073e-06
"ACACB",-0.110766644164483,0.093764139181946
"ACAD10",-0.278791706300212,1.78334543595691e-05
"ACAD11",-0.222629215195372,0.000672078601251589
"ACAD8",-0.0650540804334288,0.325972024140512
"ACAD9",-0.223088532521379,0.000654597530775823
"ACADL",-0.132567443770506,0.0460300472595119
"ACADM",-0.117235794809237,0.0759960937044061
"ACADS",-0.0593864589877637,0.369972580329809
"ACADSB",-0.162988515060105,0.0133255681583247
"ACADVL",-0.0107311560454782,0.871412960140405
"ACAN",0.0782542027406699,0.264726289948546
"ACAP1",0.694879223884513,1.69898187508467e-34
"ACAP2",0.202308535044085,0.00204656203111317
"ACAP3",-0.0408136618487534,0.537990818855344
"ACAT1",0.051468581436174,0.437263854789682
"ACAT2",0.0038078516306966,0.954199084131822
"ACBD3",0.0471229158401691,0.476987663367217
"ACBD4",-0.180034672699427,0.00618343914847305
"ACBD5",-0.155088998901573,0.0185984165386945
