"","cor","pvalue"
"ABI3",0.660554712752121,3.28700443358125e-30
"ABI3BP",0.595032415944949,2.02399986936346e-23
"ACAP1",0.694879223884513,1.69898187508467e-34
"ACP5",0.576385473012258,9.2525067569145e-22
"ACVRL1",0.545821988489151,2.94482776499466e-19
"ADAMTS1",0.566672569340151,6.16344174316914e-21
"ADAMTS2",0.572287971729177,2.07497181013006e-21
"ADAMTS4",0.524706015739635,1.13413532630385e-17
"ADAP2",0.549983324433508,1.39071430657917e-19
"ADCY7",0.520675272247765,2.21285068603471e-17
"ADPRH",0.502982039939583,3.75564982573355e-16
"AEBP1",0.572236322670213,2.09605295510114e-21
"AGAP2",0.587922541961972,8.94959509879612e-23
"AIF1",0.640661632197569,5.65944801305106e-28
"AKNA",0.59590810773869,1.68107311032333e-23
"AKR1B1",0.507072708111624,1.98005251575857e-16
"ALDH1A3",0.506757269596677,2.41893951770172e-16
"ALOX5AP",0.554203726949745,7.73994600479703e-20
"AMICA1",0.628292009384594,1.15340966188918e-26
"ANKRD44",0.510157218992659,1.21498876313175e-16
"ANTXR1",0.505299621938526,2.61598700000629e-16
"ANXA1",0.536713233211804,1.46783169176229e-18
"AOAH",0.645852156327632,1.53236242800214e-28
"AP1S2",0.534968269154462,1.98575576441211e-18
"APLNR",0.551648553953869,1.23397918906338e-19
"APOBEC3C",0.549183862440588,1.60762909542513e-19
"APOBEC3D",0.559403524731924,2.44717800101231e-20
"APOBEC3G",0.668218457646329,4.06681296403019e-31
"APOBEC3H",0.634136204249818,3.65984875653101e-27
"APOBR",0.555845362223029,4.74775424113362e-20
"ARHGAP15",0.797848004625655,5.11257044083731e-52
"ARHGAP25",0.677489541709574,2.98269497400681e-32
"ARHGAP30",0.67259077621361,1.20026752654697e-31
"ARHGAP31",0.561407242517904,1.67903208735779e-20
"ARHGAP9",0.678437309288386,2.27126913902121e-32
"ARHGDIB",0.721211804259583,3.22923815036707e-38
"ARHGEF3",0.567669436662835,5.08797239854583e-21
"ARHGEF6",0.591425166261075,4.32262206133917e-23
"ARID5B",0.507941559754155,1.72642346460624e-16
"ARL4C",0.533067644605498,2.75437222687135e-18
"ASB2",0.588074903461799,1.07455222952822e-22
"ASPN",0.538649352335657,1.04750651347342e-18
"ATP2A3",0.602443083119193,4.13110317801956e-24
"AXL",0.561232293320059,1.73535345353175e-20
"BASP1",0.655692469003762,1.19926063624063e-29
"BATF3",0.522809338937091,1.55503598648129e-17
"BCL11B",0.632629201565042,4.07072346627402e-27
"BCL2",0.504995221041496,2.7436652123211e-16
"BCL2A1",0.509053361152084,1.4478539040264e-16
"BGN",0.535157953276304,1.92174282653268e-18
"BHLHE22",0.594287251204316,3.00342914916264e-21
"BIN2",0.729979275240056,1.49100067334803e-39
"BTG2",0.502901180973061,3.80314588298405e-16
"BTK",0.594763172822791,2.14264374127567e-23
"BTLA",0.595374567488975,8.84474151009823e-23
"C10orf128",0.543727883280091,4.27877363457964e-19
"C10orf54",0.504014273684248,3.19803679945426e-16
"C11orf21",0.590630576674859,6.33692034058036e-23
"C11orf96",0.615293189877665,2.37590368589127e-25
"C16orf54",0.696402381231393,4.03741904209663e-34
"C17orf60",0.536362361562096,1.56001413216652e-18
"C17orf72",0.537461641674957,1.28869643134622e-18
