Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006955~immune response	67	19.03409090909091	2.5987097844878127E-39	CD86, GPR65, LST1, LY75, PIK3CD, FASLG, CTSW, TNFSF13B, JCHAIN, SPN, MILR1, IL18RAP, CTLA4, CCR7, CCR5, CCR4, CCR2, HLA-DPA1, CMKLR1, CD96, FCRL3, IL16, LAX1, VAV1, ZAP70, NCR3, CD8B, CD8A, LCP2, LTB, HLA-DQB1, IGSF6, WAS, CXCR4, CD1E, CXCR6, CD1C, CST7, IL2RG, CRIP1, PIK3R5, CD79B, HLA-DMB, CXCR3, CCL5, CCL4, CCL19, ICOS, S1PR4, HLA-DQA1, XCR1, CCL22, FYB1, SEMA4D, CCL21, GZMA, LILRB2, CD4, CD40LG, GPR183, IL2RA, HLA-DPB1, HLA-DRA, TNFSF8, IL7R, HLA-DRB1, C1QC	337	505	19734	7.769063078414667	4.4515898608276233E-36	4.4515898608276233E-36	4.0851717812148417E-36
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	52	14.772727272727273	2.881421803404031E-27	CD86, ITK, CD84, TNFRSF13B, CLEC10A, PIK3CD, CD3G, PRDM1, CD3E, CD3D, JCHAIN, SIT1, CTLA4, HLA-DOA, JAK3, HLA-DPA1, EOMES, ZNF683, SYK, PRKCB, THEMIS, LAX1, MPEG1, ZAP70, CD8B, CD8A, BTK, HLA-DQB1, CD1E, CD1C, CD79B, CD79A, HLA-DMB, BTLA, SLAMF7, TNFRSF17, HLA-DQA1, SLAMF1, TRAT1, CRTAM, SH2D1A, LILRB1, LILRB2, CD4, CD6, CAMK4, GPR183, HLA-DPB1, HLA-DRA, KLRD1, CD247, HLA-DRB1	337	452	19734	6.736745358577768	4.935875549231106E-24	2.467937774615553E-24	2.2647975374755684E-24
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	49	13.920454545454545	7.654236151520764E-26	GPR68, ITGB2, LY75, PIK3CD, MMP25, PSTPIP1, IL18RAP, CCR7, CCR5, CCR4, CCR2, CMKLR1, PTGDR, GBP5, CD96, PTGIR, NFAM1, CD180, CYBB, HCK, NCR3, XCL2, TLR8, PRKCQ, CSF1R, PTGER2, CXCR4, CXCR6, GATA3, AIF1, CXCR3, CCL5, CCL4, CCL19, CCL17, KLRG1, PLA2G2D, XCR1, CCL22, CCL21, LY86, NKG7, CD40LG, THEMIS2, AXL, CAMK4, IL2RA, SIGLEC1, FOLR2	337	422	19734	6.799372776238626	1.3111706527555068E-22	4.370568842518356E-23	4.01081974339688E-23
GOTERM_BP_DIRECT	GO:0042110~T cell activation	20	5.681818181818182	1.5547099876927815E-19	CD86, ITK, CD84, WAS, PIK3CD, NLRC3, CD3G, SLA2, CD3E, RASGRP1, LY9, CD2, ZAP70, CD4, PTPRC, CD8B, CD8A, SLAMF7, SLAMF6, TNFAIP8L2	337	60	19734	19.519287833827896	2.6632182089177345E-16	6.658045522294336E-17	6.110010251632632E-17
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	24	6.8181818181818175	8.108678930524273E-18	ZNF683, ITK, FYB1, THEMIS, PIK3CD, PTPN22, CD3G, GATA3, CD3E, CD3D, ZAP70, PTPRC, THEMIS2, CD8B, LCK, CD8A, INPP5D, HLA-DPB1, BTK, CTLA4, LCP2, CD247, HLA-DRB1, HLA-DQB1	337	122	19734	11.519579705209905	1.389016700798808E-14	2.778033401597616E-15	2.5493686557568313E-15
GOTERM_BP_DIRECT	GO:0007165~signal transduction	68	19.318181818181817	1.3802354635309328E-17	ARHGAP9, ITK, GMFG, PIK3CD, SLA, FASLG, LSP1, TNFSF13B, SPN, PSTPIP1, RASSF2, SIT1, TAGAP, CASP1, RAC2, CD33, CD53, PRKCH, SYK, PRKCB, NFAM1, RHOH, IL16, GAB3, DOK2, CD200R1, TYROBP, LCK, CEACAM4, XCL2, LTA, HCLS1, CD226, CARD16, LTB, CSF1R, CLEC12A, SH2D2A, DAPP1, CSF2RB, GATA3, ARHGAP15, IL2RG, RASGRP1, CD79B, INPP5D, CCL4, TNFRSF17, IL12RB1, CCL22, TRAT1, ADA2, LILRB1, PILRA, LILRB2, ARHGAP25, CD4, CLEC2B, AXL, P2RX1, CAMK4, IL2RB, TNFSF8, PTPN7, RGL4, ASB2, IL7R, HLA-DRB1	337	1240	19734	3.2112376758878147	2.364343349028488E-14	3.940572248380813E-15	3.616216914451044E-15
GOTERM_BP_DIRECT	GO:0042102~positive regulation of T cell proliferation	18	5.113636363636364	1.4831028730097213E-16	SASH3, CD86, LILRB2, CD3E, AIF1, CORO1A, TNFSF13B, SPN, CCDC88B, HLA-DMB, PTPRC, CD40LG, CD6, CCL5, HLA-DPB1, NCKAP1L, CCL19, HLA-DPA1	337	61	19734	17.279369557814857	1.9018120411828932E-13	3.62936460209379E-14	3.3306253091018315E-14
GOTERM_BP_DIRECT	GO:0045087~innate immune response	40	11.363636363636363	2.074752559998018E-14	C1QB, C1QA, CSF1R, CD84, NCF1, CLEC10A, PIK3CD, GATA3, PRDM1, CORO1A, LY9, LILRA4, JCHAIN, PSTPIP1, SLAMF6, TNFAIP8L2, JAK3, SLAMF1, KLRG1, ZNF683, APOBEC3C, GBP5, SYK, APOBEC3G, APOBEC3H, CD180, RNASE6, LY86, CYBB, ZAP70, HCK, GZMM, STING1, CD6, LCK, AXL, BTK, TLR8, CLEC4E, C1QC	337	536	19734	4.369989813543558	3.55638851701201E-11	4.442563919095757E-12	4.0768887803961056E-12
GOTERM_BP_DIRECT	GO:0050870~positive regulation of T cell activation	14	3.977272727272727	2.9623993592239734E-14	SIRPG, CCDC88B, CD4, HLA-DMB, LCK, HLA-DPB1, HLA-DRA, PRKCQ, HLA-DOA, HLA-DQA1, HLA-DRB1, CCR2, HLA-DPA1, HLA-DQB1	337	38	19734	21.573949711072935	5.077838149958325E-11	5.638433447056296E-12	5.174324214111206E-12
GOTERM_BP_DIRECT	GO:0032729~positive regulation of type II interferon production	17	4.829545454545454	2.3130865495722947E-13	SASH3, EBI3, CRTAM, LILRB1, PTPN22, CD3E, RASGRP1, CD2, HLA-DPB1, LTA, TLR8, CD226, SLAMF6, IL12RB1, CCR2, SLAMF1, HLA-DPA1	337	78	19734	12.762611275964392	3.9614744817839664E-10	3.962317259417341E-11	3.636172055927647E-11
