Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	217	61.64772727272727	6.15494127595829E-45	TRAF3IP3, CPNE5, CLEC10A, LST1, PRF1, ICAM3, SLA2, GPR174, MILR1, RASSF2, GPR171, TBC1D10C, PTGDR, CMKLR1, ARRDC5, PRKCH, PRKCB, SYTL1, SYTL3, BIN2, BTK, CD226, PRKCQ, IGSF6, EBI3, CD1E, CD1C, LY9, PIK3R5, CD79B, CD79A, INPP5D, SLAMF7, SLAMF6, NCKAP1L, ICOS, KCNN4, HLA-DQA1, SLAMF1, CARMIL2, XCR1, FYB1, PILRA, PARVG, GPR183, CD27, TNFSF8, FXYD5, RGL4, HLA-DRB1, GPR18, ITK, TNFRSF13B, CD3G, CD3E, CD3D, MS4A4A, LIMD2, GPR132, MMP25, RAC2, CTLA4, CCR7, CD37, EMB, CCR5, JAK3, CCR4, CD33, HLA-DPA1, CCR2, CD53, CD52, SYK, NFAM1, TMC8, GPBAR1, RHOH, IL16, EMP3, RAB33A, VAV1, MS4A6A, HCK, NCR3, CD200R1, CEACAM4, TLR8, HCLS1, CD48, HCST, HLA-DQB1, SELPLG, PTGER2, KCNA3, WAS, CXCR4, CXCR6, LILRA4, CXCR3, IL12RB1, P2RY13, CD74, P2RY10, CD72, IL10RA, LAPTM5, LILRB1, LILRB2, SNX20, DEF6, CD40LG, STING1, AXL, HLA-DPB1, CD69, SIGLEC1, FCN1, CD86, CD84, FCMR, NCF1, GPR68, DGKA, GPR65, NCF4, SIRPG, LY75, SLA, CYSLTR1, IL18RAP, SIT1, BASP1, HLA-DOA, CD96, CD300A, CD180, CYBB, IPCEF1, LAX1, TYROBP, JAML, CD8B, CD8A, SLC9A9, CARD16, CLEC4E, CARD11, CSF1R, DAPP1, CSF2RB, ARHGAP15, RASGRP1, CORO1A, BTLA, TNFRSF17, CD300LF, CRTAM, NKG7, PTPRC, SELL, HLA-DRA, KLRD1, IL7R, KCNK6, FLT3, ITGB2, MS4A7, PIK3CD, FASLG, LSP1, TNFSF13B, SPN, PSTPIP1, CASP1, GPSM3, PTGIR, ZAP70, LCK, LTA, LCP1, LTB, DOCK2, MS4A1, RGS18, SLC24A4, CLEC12A, IL2RG, TSPAN32, GNA15, GNG2, CYTH4, IL21R, TIGIT, S1PR4, KLRG1, SEMA4D, PDE6G, TRAT1, CD2, FMNL1, CD4, CLEC2B, CD6, CD5, P2RX1, IL2RA, IL2RB, RGS10, PTPN7, VIM, CD247, EVI2B, FOLR2, CLEC2D, MYO1F, MYO1G	346	5592	20887	2.3425697941733445	1.6741440270606547E-42	1.6741440270606547E-42	1.4587210824021148E-42
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	65	18.46590909090909	2.1472780915983594E-42	FCN1, CD86, CD84, CLEC10A, ITGB2, LY75, CD3G, FASLG, CD3E, CD3D, SPN, MILR1, CTLA4, CCR7, CCR5, CCR4, CD33, CCR2, FCRL3, CD200R1, TMIGD2, CD8A, TLR8, CD226, CD48, CLEC4E, MS4A1, HLA-DQB1, EBI3, CXCR4, CD1E, CSF2RB, CXCR6, CD1C, IL2RG, LY9, CD79B, CD79A, CXCR3, IL21R, SLAMF7, SLAMF6, IL12RB1, SLAMF1, CD74, XCR1, LILRB1, CD2, CD4, PTPRC, CD40LG, CLEC2B, SELL, CD5, P2RX1, IL2RA, IL2RB, HLA-DPB1, CD27, KLRD1, CD69, FOLR2, IL7R, CLEC2D, HLA-DRB1	346	429	20887	9.14652303380627	5.8405964091475375E-40	2.9202982045737687E-40	2.544524538544056E-40
GOTERM_CC_DIRECT	GO:0001772~immunological synapse	16	4.545454545454546	4.281462012579069E-16	CD53, GZMA, CRTAM, PRF1, RHOH, CD3E, SCIMP, CORO1A, ZAP70, CD6, LCK, HLA-DRA, PRKCQ, CD37, CARD11, HLA-DRB1	346	46	20887	20.99723548630309	1.2079226507921703E-13	3.881858891405023E-14	3.3823549899374644E-14
GOTERM_CC_DIRECT	GO:0016020~membrane	140	39.77272727272727	1.8413013922316027E-11	FCMR, SPI1, TRAF3IP3, NCF1, GPR68, GPR65, DGKA, CLEC10A, LST1, GIMAP1, NCF4, SIRPG, PRF1, LY75, ICAM3, CYSLTR1, ARHGDIB, GPR171, TBC1D10C, PTGDR, CMKLR1, GBP5, CD96, CD300A, LAX1, ACAP1, TYROBP, CD8B, MFNG, SLC9A9, DPEP2, MAL, CLEC4E, CSF1R, IGSF6, CSF2RB, RASAL3, RASGRP1, CORO1A, PIK3R5, SLAMF8, TNFRSF17, NCKAP1L, ICOS, KCNN4, HLA-DQA1, C16ORF54, CARMIL2, NKG7, PILRA, CCDC88B, PTPRC, HLA-DRA, TNFSF8, KLRD1, FXYD5, RGL4, GPR18, HLA-DRB1, FERMT3, KCNK6, FLT3, ITGB2, MS4A7, ATP2A3, FASLG, CTSW, CLEC9A, LSP1, GGTA1, IL18BP, TNFSF13B, SPN, PSTPIP1, MMP25, GPR132, CD37, EMB, CCR5, JAK3, SLFN12L, HLA-DPA1, CCR2, MAP4K1, CD53, CD52, PTGIR, NFAM1, FCRL3, GAB3, C1ORF162, EMP3, MS4A6A, TMIGD2, CEACAM4, LTA, TLR8, CD48, LTB, DOCK2, HLA-DQB1, C1QB, SLC24A4, SELPLG, CLEC12A, KCNA3, CXCR4, IL2RG, TSPAN32, TMEM71, HLA-DMB, GNG2, C10ORF105, CXCR3, IL21R, TIGIT, KLRG1, CD74, P2RY10, SEMA4D, IL10RA, LILRB2, SCIMP, DEF6, GZMH, GZMM, FMNL1, EVI2A, CD40LG, ABI3, AXL, P2RX1, IL2RA, IL2RB, ALOX5AP, HLA-DPB1, SIGLEC1, EVI2B, CLEC2D, MYO1G	346	5048	20887	1.674205087804476	5.008349290847036E-9	1.2520849467174899E-9	1.0909710748972246E-9
GOTERM_CC_DIRECT	GO:0009986~cell surface	37	10.511363636363637	3.288151123968612E-10	CD86, CSF1R, ITGB2, CXCR4, CLEC9A, IL2RG, TSPAN32, SPN, CXCR3, SLAMF8, CCR7, CCR5, TIGIT, CD33, HLA-DPA1, CD53, CD74, FCRL3, LILRB2, CD2, CD200R1, TYROBP, PTPRC, CD40LG, CD6, CD8B, AXL, CEACAM4, IL2RB, HLA-DPB1, HLA-DRA, CD226, FOLR2, CLEC2D, MS4A1, HCST, HLA-DRB1	346	657	20887	3.3996665522914635	8.943769946867519E-8	1.788754211438925E-8	1.558583632761122E-8
GOTERM_CC_DIRECT	GO:0042613~MHC class II protein complex	9	2.556818181818182	6.159515797314806E-9	CD74, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	346	26	20887	20.89628723877279	1.675386895549913E-6	2.7923138281160455E-7	2.4330087399393483E-7
GOTERM_CC_DIRECT	GO:0030669~clathrin-coated endocytic vesicle membrane	11	3.125	2.5077790969954345E-7	CD74, CD4, HLA-DPB1, HLA-DRA, CD3G, IL7R, CD3D, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	346	71	20887	9.352641862737116	6.820927362238827E-5	9.74451306261083E-6	8.490623514113113E-6
GOTERM_CC_DIRECT	GO:0001891~phagocytic cup	7	1.9886363636363635	5.388939414877618E-6	BIN2, LCP1, CLEC4E, ARHGAP25, AIF1, CORO1A, MYO1G	346	28	20887	15.091763005780349	0.0014647217169238003	1.83223940105839E-4	1.5964733016574943E-4
GOTERM_CC_DIRECT	GO:0005884~actin filament	11	3.125	8.03254604564068E-6	HCK, PSTPIP1, WIPF1, RAC2, WAS, COTL1, HCLS1, LCP1, RCSD1, AIF1, CORO1A	346	103	20887	6.446966720915876	0.0021824762273110476	2.42761391601585E-4	2.1152371253520456E-4
GOTERM_CC_DIRECT	GO:0045121~membrane raft	15	4.261363636363636	1.1838380400826403E-5	NFAM1, ITGB2, KCNA3, CD79A, ZAP70, CD4, PTPRC, LCK, INPP5D, P2RX1, BTK, MAL, CD48, CD226, CARD11	346	211	20887	4.291496589321425	0.0032148797009470265	3.2200394690247815E-4	2.8056961549958575E-4
