Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	25	7.1022727272727275	5.761426825416208E-19	CSF1R, FLT3, CD1E, CD3G, CD1C, CD3E, CD3D, HLA-DMB, CD37, HLA-DOA, HLA-DQA1, CD33, HLA-DPA1, CD2, CD4, CD8B, CD5, CD8A, IL2RA, HLA-DPB1, HLA-DRA, IL7R, MS4A1, HLA-DRB1, HLA-DQB1	196	99	8840	11.389404246547103	1.2963210357186467E-16	1.2963210357186467E-16	1.0370568285749173E-16
KEGG_PATHWAY	hsa04658:Th1 and Th2 cell differentiation	24	6.8181818181818175	1.5298494134218189E-18	CD3G, GATA3, IL2RG, CD3E, RUNX3, CD3D, ZAP70, CD4, HLA-DMB, LCK, IL2RA, TBX21, IL2RB, HLA-DPB1, HLA-DRA, PRKCQ, CD247, HLA-DOA, IL12RB1, JAK3, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	196	92	8840	11.76574977817214	3.4421611801990924E-16	1.7210805900995462E-16	1.376864472079637E-16
KEGG_PATHWAY	hsa04659:Th17 cell differentiation	25	7.1022727272727275	5.123824093953702E-18	EBI3, CD3G, GATA3, CD3E, IL2RG, CD3D, HLA-DMB, TBX21, IL21R, IL12RB1, HLA-DOA, JAK3, HLA-DQA1, HLA-DPA1, ZAP70, CD4, LCK, IL2RA, IL2RB, HLA-DPB1, HLA-DRA, PRKCQ, CD247, HLA-DRB1, HLA-DQB1	196	108	8840	10.440287226001512	1.152860421139583E-15	3.8428680704652766E-16	3.074294456372221E-16
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	37	10.511363636363637	2.1974103881363053E-17	CSF1R, TNFRSF13B, EBI3, CXCR4, CSF2RB, FASLG, CXCR6, IL2RG, TNFSF13B, IL18RAP, CCL5, CXCR3, CCL4, IL21R, TNFRSF17, CCR7, CCL19, IL12RB1, CCR5, CCR4, CCL17, CCR2, XCR1, CCL22, CCL21, IL10RA, IL16, CD4, CD40LG, IL2RA, IL2RB, LTA, XCL2, CD27, TNFSF8, LTB, IL7R	196	298	8840	5.599917819476784	4.944173373306687E-15	1.2360433433266717E-15	9.888346746613374E-16
KEGG_PATHWAY	hsa05340:Primary immunodeficiency	16	4.545454545454546	7.988169040597167E-16	TNFRSF13B, IL2RG, CD3E, CD3D, CD79A, ZAP70, CD4, PTPRC, CD40LG, CD8B, LCK, CD8A, BTK, IL7R, ICOS, JAK3	196	38	8840	18.990332975295377	1.7486012637846216E-13	3.5946760682687255E-14	2.87574085461498E-14
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	29	8.238636363636363	1.0829283898247606E-15	ITK, NCF1, WAS, CXCR4, PIK3CD, CXCR6, PIK3R5, GNGT2, GNG2, CCL5, CXCR3, CCL4, RAC2, CCR7, CCL19, CCR5, JAK3, CCR4, CCL17, CCR2, XCR1, CCL22, CCL21, PRKCB, VAV1, HCK, XCL2, DOCK2, PLCB2	196	193	8840	6.776990588981707	2.498001805406602E-13	4.060981461842852E-14	3.248785169474282E-14
KEGG_PATHWAY	hsa04514:Cell adhesion molecules	26	7.386363636363637	4.532475376168498E-15	CD86, SELPLG, ITGB2, ICAM3, SPN, HLA-DMB, CTLA4, ICOS, TIGIT, HLA-DOA, HLA-DQA1, HLA-DPA1, CD2, CD4, PTPRC, CD40LG, SELL, CD6, CD8B, CD8A, HLA-DPB1, HLA-DRA, CD226, SIGLEC1, HLA-DRB1, HLA-DQB1	196	157	8840	7.469127778499936	1.024180740216707E-12	1.4568670851970174E-13	1.1654936681576138E-13
KEGG_PATHWAY	hsa04061:Viral protein interaction with cytokine and cytokine receptor	21	5.965909090909091	3.213653806032053E-14	CSF1R, XCR1, CCL22, CCL21, IL10RA, CXCR4, IL2RG, IL18RAP, IL2RA, CCL5, CXCR3, IL2RB, CCL4, LTA, XCL2, CCR7, CCL19, CCR5, CCR4, CCL17, CCR2	196	100	8840	9.471428571428572	7.2192252176250804E-12	9.038401329465148E-13	7.230721063572118E-13
KEGG_PATHWAY	hsa04672:Intestinal immune network for IgA production	15	4.261363636363636	1.3891186880558786E-12	CD86, TNFRSF13B, CXCR4, TNFSF13B, HLA-DMB, CD40LG, HLA-DPB1, TNFRSF17, HLA-DRA, HLA-DOA, ICOS, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	196	49	8840	13.806747188671386	3.1254998589247407E-10	3.472796720139697E-11	2.778237376111757E-11
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	20	5.681818181818182	1.5781646744189465E-11	ITK, PIK3CD, CD3G, CD3E, RASGRP1, CD3D, VAV1, ZAP70, CD4, PTPRC, CD40LG, CD8B, LCK, CD8A, CTLA4, LCP2, PRKCQ, CD247, ICOS, CARD11	196	122	8840	7.3937771830043495	3.550859606349377E-9	3.5508705174426294E-10	2.8406964139541035E-10
KEGG_PATHWAY	hsa05330:Allograft rejection	12	3.4090909090909087	3.248374353837223E-10	CD86, HLA-DMB, CD40LG, HLA-DPB1, PRF1, HLA-DRA, FASLG, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	196	38	8840	14.242749731471534	7.308843263942322E-8	6.644402087394319E-9	5.315521669915456E-9
