Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	26	7.386363636363637	1.2964226628572003E-15	FCMR, IGSF6, CLEC12A, CLEC10A, CD3G, CD3E, CD3D, CD79B, SPN, MILR1, CD79A, IL21R, CD300LF, SLAMF1, CD72, SEMA4D, CD300A, FCRL3, NFAM1, CD4, EVI2A, CD27, KLRD1, CD69, CD247, CLEC2D	337	182	19304	8.183128444256042	6.115108419635362E-13	5.950580022514549E-13	5.548688997028817E-13
GOTERM_MF_DIRECT	GO:0023026~MHC class II protein complex binding	11	3.125	1.449285830191369E-11	CD74, CD4, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, MS4A1, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	337	27	19304	23.337070007693157	6.652218775826668E-9	3.326110980289192E-9	3.10147167660953E-9
GOTERM_MF_DIRECT	GO:0015026~coreceptor activity	13	3.6931818181818183	3.419435883705508E-10	CD86, CXCR4, CSF2RB, CXCR6, IL2RG, LILRA4, CD4, IL18RAP, TMIGD2, CD8B, CD8A, IL2RB, CCR5	337	59	19304	12.621435397072876	1.5695209298893786E-7	5.2144377871207563E-8	4.862264428949202E-8
GOTERM_MF_DIRECT	GO:0038023~signaling receptor activity	22	6.25	4.544172363503927E-10	CD86, TNFRSF13B, SEMA4D, CD300A, IL10RA, CLEC10A, LY75, CSF2RB, CD2, CD200R1, CD4, CD5, CXCR3, SLAMF8, BTLA, TNFRSF17, TLR8, FOLR2, CD33, SLAMF1, KLRG1, CMKLR1	337	225	19304	5.600896801846357	2.0857751048541928E-7	5.2144377871207563E-8	4.862264428949202E-8
GOTERM_MF_DIRECT	GO:0005102~signaling receptor binding	27	7.670454545454546	1.74738652936502E-9	FCN1, SELPLG, ICAM3, FASLG, LILRA4, TNFSF13B, TESPA1, TIGIT, CCL17, CD72, FYB1, SYK, SEMA4D, CRTAM, CD2, ZAP70, HCK, TYROBP, PTPRC, LCK, LTA, HLA-DPB1, TNFSF8, LTB, HCST, HLA-DRB1, HLA-DQB1	337	369	19304	4.191358471448217	8.020501141015046E-7	1.6041008339570883E-7	1.495762869136457E-7
GOTERM_MF_DIRECT	GO:0032395~MHC class II receptor activity	7	1.9886363636363635	4.1177401643822687E-8	HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	337	13	19304	30.84409952065738	1.8900249111442058E-5	3.1500712257524357E-6	2.9373213172593513E-6
GOTERM_MF_DIRECT	GO:0001784~phosphotyrosine residue binding	10	2.840909090909091	3.51751712725703E-7	ITK, ZAP70, HCK, SYK, LCK, STAP1, SLA, SLA2, SAMSN1, VAV1	337	54	19304	10.60775909440598	1.6144103154536182E-4	2.3064862305871098E-5	2.1507104720942986E-5
GOTERM_MF_DIRECT	GO:0004896~cytokine receptor activity	9	2.556818181818182	9.534108184180538E-7	CD74, FLT3, EBI3, IL2RB, IL21R, CSF2RB, IL7R, IL2RG, IL12RB1	337	45	19304	11.456379821958457	4.375200344450825E-4	5.0994630042107095E-5	4.755054827455738E-5
GOTERM_MF_DIRECT	GO:0016493~C-C chemokine receptor activity	8	2.272727272727273	1.0526740972678416E-6	XCR1, CXCR3, CXCR4, CCR7, CXCR6, CCR5, CCR4, CCR2	337	32	19304	14.320474777448073	4.830609534103303E-4	5.0994630042107095E-5	4.755054827455738E-5
GOTERM_MF_DIRECT	GO:0042608~T cell receptor binding	6	1.7045454545454544	1.1109941185644247E-6	LCK, HLA-DRA, CD3G, DOCK2, CD3E, HLA-DRB1	337	12	19304	28.640949554896142	5.098165830470514E-4	5.0994630042107095E-5	4.755054827455738E-5
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	16	4.545454545454546	3.0644413885344147E-6	FCN1, CD72, CLEC12A, CLEC10A, LY75, CLEC9A, LGALS2, CLEC2B, SELL, KLRD1, CD69, SIGLEC1, CLEC4E, CLEC2D, CD33, KLRG1	337	204	19304	4.492697969395473	0.0014055919814733864	1.2787078157611785E-4	1.1923462857206631E-4
GOTERM_MF_DIRECT	GO:0005515~protein binding	261	74.14772727272727	3.408621741916857E-6	SPI1, TRAF3IP3, WIPF1, CLEC10A, PRF1, ICAM3, IKZF1, SLA2, IKZF3, MILR1, LGALS2, RASSF2, TBC1D10C, UBASH3A, PTGDR, CMKLR1, GBP5, PRKCH, PRKCB, SYTL1, RUNX3, SYTL3, BIN2, BTK, CD226, PRKCQ, KCTD12, SH2D2A, SP140, EBI3, GATA3, CD1C, HACD4, CD79B, CD79A, INPP5D, SLAMF8, SLAMF6, NCKAP1L, ICOS, KCNN4, HLA-DQA1, SLAMF1, APOBEC3C, XCR1, FYB1, APOBEC3G, BCL11B, FAM78A, APOBEC3H, SH2D1A, PILRA, PBX4, FLI1, CCDC88B, PARVG, CD27, TNFSF8, FXYD5, HLA-DRB1, ARHGAP9, ITK, TNFRSF13B, CD3G, CD3E, CD3D, MS4A4A, LIMD2, MMP25, TIFAB, TMSB4X, RAC2, CTLA4, CD37, TNFAIP8L2, CCR5, JAK3, CCR4, CD33, CCR2, MAP4K1, CD53, DUSP2, SYK, NFAM1, TMC8, GPBAR1, RHOH, EMP3, RAB33A, VAV1, MS4A6A, HCK, NCR3, CD200R1, MZB1, HCLS1, CD48, PLEKHO1, HCST, PLCB2, HLA-DQB1, C1QB, C1QA, SELPLG, KCNA3, WAS, CXCR4, AOAH, CST7, AIF1, LILRA4, FGD2, HLA-DMB, CXCR3, UCP2, CCL19, CCL17, SAMD3, P2RY13, CD74, CCL22, CD72, SEPTIN1, CCL21, IL10RA, LAPTM5, LILRB1, LILRB2, SNX20, DEF6, SMOC2, CD40LG, STING1, THEMIS2, ABI3, AXL, KLHL6, HLA-DPB1, CD69, C1QC, FCN1, CD86, CD84, FCMR, NCF1, GIMAP1, NCF4, SIRPG, SLA, PRDM1, IL18RAP, SIT1, BASP1, ARHGDIB, COTL1, HLA-DOA, ZNF683, ZBP1, CD300A, CD180, THEMIS, CYBB, SHISA3, IPCEF1, LAX1, DOK2, ACAP1, TYROBP, CD8B, CD8A, SLC9A9, MAL, S100A4, CARD16, CLEC4E, CARD11, CSF1R, DAPP1, CSF2RB, RASAL3, CORO1A, BTLA, TNFRSF17, STAP1, CD300LF, C16ORF54, LY86, NKG7, ARHGAP30, PTPRC, SELL, HLA-DRA, KLRD1, IL7R, FLT3, ITGB2, MS4A7, ATP2A3, PIK3CD, PTPN22, FASLG, LSP1, TNFSF13B, SPN, LYL1, PSTPIP1, TAGAP, CASP1, CYTIP, GPSM3, SRGN, INMT, ZAP70, TMIGD2, LCK, XCL2, LTA, LCP2, DOCK2, MS4A1, RGS18, CLEC12A, FGL2, NLRC3, IL2RG, GNG2, CYTH4, SPOCK2, CCL5, TBX21, CCL4, IL21R, TIGIT, S1PR4, KLRG1, SEMA4D, PDE6G, TRAT1, GZMA, SCIMP, CD2, GZMK, FMNL1, CD4, GZMM, EVI2A, CLEC2B, CD6, CD5, P2RX1, IL2RA, ALOX5AP, IL2RB, RGS10, CLNK, PTPN7, VIM, CD247, ASB2, MYO1F	337	12754	19304	1.1722264127062714	0.0015633367599957593	1.303797816283198E-4	1.2157417546170122E-4
GOTERM_MF_DIRECT	GO:0048020~CCR chemokine receptor binding	7	1.9886363636363635	9.008601306597358E-6	CCL22, CCL21, CCL5, CCL4, XCL2, CCL19, CCL17	337	29	19304	13.826665302363654	0.004126429421463018	3.180729230560144E-4	2.9659087378643606E-4
GOTERM_MF_DIRECT	GO:0004950~chemokine receptor activity	6	1.7045454545454544	1.1027801306511848E-5	XCR1, CXCR3, CCR5, CCR4, CCR2, CMKLR1	337	18	19304	19.09396636993076	0.005048999445396496	3.615543428349241E-4	3.3713563994193366E-4
GOTERM_MF_DIRECT	GO:0019957~C-C chemokine binding	7	1.9886363636363635	1.6445826903560008E-5	XCR1, CXCR3, CXCR4, CXCR6, CCR5, CCR4, CCR2	337	32	19304	12.530415430267063	0.007520276766741274	5.032423032489363E-4	4.692542609815789E-4
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	55	15.625	1.9875958019130997E-5	CD84, PRF1, CD3G, IKZF1, CD3E, CD3D, IKZF3, PSTPIP1, CASP1, CCR5, CCR2, ZBP1, CD53, GBP5, NCR3, TYROBP, LCK, DPEP2, BTK, TLR8, S100A4, CD226, KCTD12, CARD16, MS4A1, C1QB, WAS, GATA3, RASAL3, RASGRP1, CD79B, CD79A, CCL5, CCL4, SLAMF8, SLAMF7, CD300LF, TIGIT, SLAMF1, CD74, SEMA4D, SEPTIN1, APOBEC3G, CRTAM, CD2, CD4, CLEC2B, CD6, STING1, ABI3, P2RX1, ALOX5AP, VIM, CD247, CD69	337	1737	19304	1.813761917696359	0.009081665682837192	5.701915456738205E-4	5.316818770117542E-4
