"","cor","pvalue"
"TSPAN6",-0.0209383879380266,0.690115053723908
"TNMD",-0.0595383102071172,0.25655010594225
"DPM1",-0.0769238516380366,0.142441010802549
"SCYL3",-0.104789621047839,0.0454304380401692
"C1orf112",-0.190314331849768,0.00025522775378909
"FGR",0.462043973234162,1.05580710978153e-20
"CFH",0.0997446376264731,0.0569320108809465
"FUCA2",0.0901034444861186,0.0856112022857253
"GCLC",-0.267344525886093,2.16288705183036e-07
"NFYA",-0.0103883654694942,0.843206226853312
"STPG1",-0.0172125318547059,0.743107287578979
"NIPAL3",0.0501644449498339,0.339221365288228
"LAS1L",-0.0274069515282242,0.60173222227746
"ENPP4",-0.0267595988289886,0.610346376549251
"SEMA3F",0.0343160160029499,0.513401570410795
"CFTR",0.11130723637795,0.0335167897344658
"ANKIB1",-0.0856463889552712,0.102329753956318
"CYP51A1",-0.269347337740049,1.74061107306648e-07
"KRIT1",-0.0587764408411507,0.262697072189936
"RAD52",-0.0732335962845826,0.162653621274678
"BAD",-0.0620167328698451,0.237244613243273
"LAP3",0.124647417487538,0.0171947869220265
"CD99",0.0293991073766653,0.575572460550098
"HS3ST1",0.227532151738627,1.13456599562753e-05
"AOC1",0.00781929336601491,0.881650487228853
"WNT16",0.0596639887005603,0.255545734424051
"HECW1",-0.0233096328909089,0.657141842905926
"MAD1L1",0.129232077144176,0.0134782475229638
"LASP1",-0.0538790137726953,0.304621962891919
"SNX11",0.0168509010521952,0.748320630086339
"TMEM176A",0.0327122936747728,0.533290720516494
"M6PR",-0.0673109366961461,0.199485705034183
"KLHL13",-0.0654029944408609,0.212554638913121
"CYP26B1",0.0557502833183365,0.288108304224112
"ICA1",0.0396595369579522,0.450013400108657
"DBNDD1",-0.145020072583434,0.00550678601019201
"ALS2",-0.0930323224209756,0.0758755874813431
"CASP10",0.211679727859798,4.5708456730169e-05
"CFLAR",0.0568702239084731,0.278517997183851
"TFPI",-0.0876565441848209,0.0944944107156707
"NDUFAF7",0.0362718651747567,0.489676511853493
"RBM5",0.0657708797119762,0.20998795086958
"MTMR7",0.0150037055488522,0.775124556330677
"SLC7A2",-0.00271998516663122,0.958698338341297
"ARF5",-0.0513432988836569,0.327978848888367
"SARM1",-0.0760048816568458,0.147285244997004
"POLDIP2",-0.251016683909908,1.19055276949938e-06
"PLXND1",0.291796403258099,1.34918050079086e-08
"AK2",-0.0934717536355893,0.0744957420873834
"CD38",0.445409667734613,3.44806723660146e-19
"FKBP4",-0.0958621279237704,0.0673432283040371
"KDM1A",0.0134459021812965,0.797939990825125
"RBM6",0.121461897866985,0.0202778387064421
"CAMKK1",0.333392738147381,6.3385661322018e-11
"RECQL",-0.0737521949174977,0.159689619914216
"VPS50",-0.101796218471356,0.0519927576771891
"HSPB6",0.172831299308698,0.000914478609752929
"ARHGAP33",-0.0340627707637733,0.516516515007025
"NDUFAB1",-0.0132304294081191,0.801109843069197
"PDK4",-0.174347647100393,0.000822417836037464
"SLC22A16",0.0434451649421001,0.407918314205019
"ZMYND10",-0.0783622383327817,0.135104573255958
"SLC25A13",-0.219520477231124,2.32375310296845e-05
"ST7",-0.0530315418850338,0.312302680702289
"CDC27",-0.0403890308805163,0.441716092286341
"SLC4A1",0.0911935364944272,0.0818763947996113
"CALCR",-0.0547233218223222,0.297095143107454
"HCCS",-0.0157719536054516,0.763942327345472
"DVL2",0.0379005650700935,0.470377479686302
"PRSS22",0.104491721602082,0.0460507147787105
"UPF1",-0.100675559722533,0.0546445979503086
"SKAP2",0.0781283033182954,0.136277538048817
"SLC25A5",-0.0538331408495399,0.305034489027009
"MCUB",0.336339468264501,4.1988408082339e-11
"POLR2J",-0.0371685433132321,0.478999305864154
"DHX33",0.0178734067961715,0.733610378408224
"MEOX1",0.371443966561205,2.19739431855154e-13
"THSD7A",0.17077470904031,0.00105456789645561
"LIG3",-0.125503421553687,0.0164395644768676
"RPAP3",0.0391079071610219,0.45634564214084
"ACSM3",-0.161765847708867,0.00193275146855616
"REXO5",-0.0820653196784938,0.117555046998942
"CIAPIN1",-0.0348714260577252,0.506604227426553
"SPPL2B",0.0145240188557083,0.782130422982666
"FAM214B",0.130884376013918,0.0123235891425453
"COPZ2",-0.0147980677772525,0.778125718795717
"PRKAR2B",0.308534277602117,1.72423974370388e-09
"MSL3",0.210453431589236,5.0696875183715e-05
"CREBBP",-0.0854243055439719,0.103226102785583
"TSPOAP1",0.00986284875700959,0.851043075805692
"MPO",0.112407124907588,0.0317950647361777
