"","cor","pvalue"
"CD79B",0.581242109521435,2.28832841301142e-34
"MMP25",0.536976516343207,1.19095092241056e-28
"TRAF3IP3",0.634072368974796,1.91762990797667e-42
"CD4",0.53130426991001,5.60720968617222e-28
"BTK",0.562845472117575,6.91479239510082e-32
"TYROBP",0.578526770469247,5.43893001629926e-34
"CD6",0.79837755120182,5.66879992492855e-82
"WAS",0.616566357106226,1.34675880035492e-39
"CD74",0.536709513765088,1.28189484003143e-28
"RUNX3",0.680145923356127,6.87010085593841e-51
"DEF6",0.670519878947522,5.33836524765611e-49
"PLEKHO1",0.576108158196761,1.16808819843393e-33
"VIM",0.518101403450731,1.84770485548639e-26
"SLAMF7",0.609250210745007,1.84799749497486e-38
"PRKCH",0.518380661012202,1.71873999583295e-26
"SH2D2A",0.607459697268359,3.47198249027025e-38
"POU2F2",0.54794533770821,5.47044965269884e-30
"STAP1",0.543842773493087,1.7545885584927e-29
"LCP2",0.605711719306173,6.40139223141125e-38
"TNFRSF17",0.508424773236788,2.17639895932658e-25
"CELF2",0.560022480262412,1.6099032585163e-31
"LY75",0.505442863126436,4.58110720148904e-25
"PRDM1",0.545620363108437,1.06101312231287e-29
"GNA15",0.510976231192509,1.14454210260147e-25
"TSPAN32",0.554021755430067,9.44949710925583e-31
"DGKA",0.525733587056563,2.49635233649958e-27
"PRKCQ",0.62430397713984,7.82360376696201e-41
"CD84",0.517935388097949,1.92885287984534e-26
"SPI1",0.534345400304848,2.45235735029968e-28
"CLEC2D",0.515141996278589,3.96142526549611e-26
"DAPP1",0.568770117807092,1.14279266020921e-32
"ACAP1",0.747854860383407,1.44959216382728e-66
"TBX21",0.672770749462554,1.95777992274664e-49
"ATP2A3",0.638620408578985,3.25801993607836e-43
"IPCEF1",0.588895669245767,1.90785484100756e-35
"ARHGAP15",0.728899343925655,1.06261786021969e-61
"ICAM3",0.59732249698213,1.14519649568467e-36
"CST7",0.731532937015948,2.37316122969724e-62
"P2RY10",0.689038051957113,1.05940182967006e-52
"SP140",0.532557772155172,3.99159399776015e-28
"PTPRC",0.577426224901999,7.70741873454553e-34
"FYB1",0.566218884363873,2.49206538134032e-32
"FCN1",0.558106263609915,2.84404795792655e-31
"PILRA",0.515089707876438,4.01489816958017e-26
"SIGLEC1",0.508126693421058,2.34526970613965e-25
"SIRPG",0.628955122444065,1.36041899859754e-41
"FXYD5",0.503256882582919,7.8689325821816e-25
"ADA2",0.522873542473655,5.31681341760229e-27
"IL12RB1",0.59941459076566,5.62290132464882e-37
"KCNK6",0.538376160876424,8.08906676933428e-29
"CYTH4",0.558125867066513,2.82759193992725e-31
"MFNG",0.525939822914277,2.36324347377188e-27
"LGALS2",0.560247859637468,1.50531283129528e-31
"APOBEC3H",0.613303509320266,4.36742725220165e-39
"NCF4",0.59325037031013,4.50523321254912e-36
"CSF2RB",0.514835488398658,4.28520106868112e-26
"IL2RB",0.577379715026282,7.82157896546189e-34
"GZMH",0.621226075344406,2.44995429825006e-40
"ASB2",0.628424005141122,1.66371634412717e-41
"SLA2",0.694216654532022,8.69753864010765e-54
"RASSF2",0.55620834941382,4.97897244547694e-31
"HCK",0.543714164523686,1.81940798210987e-29
"TLR8",0.500148780652837,1.68682647182698e-24
"CD40LG",0.770780369646916,4.58715904337605e-73
"TNFSF13B",0.574261048844595,2.08519813925608e-33
"CORO1A",0.696313980087596,3.1125140048224e-54
"CCL22",0.507357546346494,2.84307718346814e-25
"CCL17",0.578407333588615,5.64899798094094e-34
"COTL1",0.64510098167251,2.4738710518194e-44
"IL21R",0.516275195276733,2.9607780059407e-26
"KCNN4",0.522524237615886,5.82827688521076e-27
"MAP4K1",0.708469164420132,6.73948813525764e-57
