,cor,pvalue
gobp_immune_response_regulating_cell_surface_receptor_signaling_pathway,0.739992071910475,1.70168277779969e-64
gobp_t_cell_activation,0.715081404891116,2.09269796289985e-58
gobp_regulation_of_t_cell_activation,0.703655743140055,7.94317638427154e-56
gocc_t_cell_receptor_complex,0.700044804385665,4.89354516582234e-55
gobp_t_cell_activation_involved_in_immune_response,0.68024538046299,6.56224389792701e-51
gobp_adaptive_immune_response,0.675027327943058,7.09793897345595e-50
gobp_lymphocyte_activation_involved_in_immune_response,0.659337841343261,6.85491513671135e-47
gobp_natural_killer_cell_mediated_immune_response_to_tumor_cell,0.651116843032277,2.13559759679733e-45
gobp_cytokine_production_involved_in_immune_response,0.631432301426016,5.29362233360521e-42
gomf_c_x_c_chemokine_receptor_activity,0.615951705139897,1.68266056795291e-39
gobp_immune_response_to_tumor_cell,0.609095327520596,1.95191606884961e-38
gomf_c_c_chemokine_binding,0.601794912333269,2.4871801582817e-37
gomf_cytokine_receptor_activity,0.585227630776418,6.32733790510174e-35
gocc_external_side_of_plasma_membrane,0.581649225892221,2.00835598061694e-34
gobp_natural_killer_cell_activation_involved_in_immune_response,0.512660129578752,7.46683816949606e-26
gobp_b_cell_activation_involved_in_immune_response,0.504738363927319,5.45599120236122e-25
gobp_t_cell_mediated_immune_response_to_tumor_cell,0.226123249323306,1.28945918117031e-05
