,cor,pvalue,-log10(P)
gobp_adaptive_immune_response,0.631514740222433,5.32818312195421e-27,26.273420857507507
gobp_t_cell_activation_involved_in_immune_response,0.642319024601909,3.7392178138118797e-28,27.42721923594731
gobp_b_cell_activation_involved_in_immune_response,0.507953773802832,1.72309521525925e-16,15.763690723527503
gobp_natural_killer_cell_activation_involved_in_immune_response,0.539599074724985,8.870325867753541e-19,18.052060425267754
gobp_lymphocyte_activation_involved_in_immune_response,0.648014238138514,8.82574808332977e-29,28.054248472943797
gobp_cytokine_production_involved_in_immune_response,0.582037834756216,2.980377651341e-22,21.525728701862718
gobp_immune_response_regulating_cell_surface_receptor_signaling_pathway,0.666095937379004,7.29958167419109e-31,30.136702027796822
gobp_immune_response_to_tumor_cell,0.470098399443026,4.78226347020749e-14,13.320366500887493
gomf_c_c_chemokine_binding,0.656086403784257,1.08083156642944e-29,28.96624197993169
gomf_cytokine_receptor_activity,0.569591121326624,3.5092141592927104e-21,20.45479012697953
kegg_cytokine_cytokine_receptor_interaction,0.656592582830373,9.454465105367029e-30,29.0243630367141
kegg_chemokine_signaling_pathway,0.64356599837723,2.73292269243398e-28,27.56337265324118
