,cor,pvalue,-log10(P)
3-gene exhausted cd8 signature,0.491829713206146,1.2501058636953501e-23,22.903053207734377
9-gene exhausted cd8 signature,0.545846515818254,9.950262553050289e-30,29.002165459572208
cabrita tls signature,0.346981998283682,9.144572553665079e-12,11.038836590015135
cytolytic activity signature,0.645143665084892,2.4317174347839e-44,43.61408689142384
gajewski 13-gene inflammatory signature,0.566339413936503,2.4023110698487401e-32,31.61937075747775
kaufman 18-gene t cell inflammed signature,0.648260818820044,6.87993813864611e-45,44.162415466730394
merk 6-gene interferon gamma signature,0.475167667266158,5.878938601871549e-22,21.230701075447527
nanostring apc signature,0.620410901454491,3.3077691715918796e-40,39.480464804742724
nanostring interferon gamma signature,0.642481399141512,7.06622601743481e-44,43.15081247551214
nanostring t-cell exhausted signature,0.537581920417393,1.0076859865319699e-28,27.996674780948602
ribas 10-gene interferon gamma signature,0.587213757973915,3.3121812991500303e-35,34.47988589922246
antigene-presenting cell signature,0.606974190502072,4.1166214568143603e-38,37.385459066637466
